"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"1833"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S610_question2_itemDirections2_5c9d227b2a28b0.28922188_1_0"	"PISA_uzb-UZB_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"1288"	"branches with &lt;u&gt;no&lt;/u&gt; ants"	"&lt;u&gt;yo'q&lt;/u&gt; bo'lgan B tur shoxlar"	"S603_stimulus1_le2_5c9d227aa44e48.50793404_2_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"475"	"Location"	"5-joy"	"S425_stimulus2_t1tr1td6_5c9d22abe89a61.02648789_0_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"3149"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227c5fe8b6.36778135_1_0"	"PISA_uzb-UZB_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"460"	"Location"	"2-joy"	"S425_stimulus2_t1tr1td3_5c9d22abe89176.95231813_0_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1713"	"Species A"	"A tur"	"S608_stimulus2_le21_5c9d227b14ac74.56530847_0"	"PISA_uzb-UZB_SCI_S608-Ammonoids_en21_MS2022.xlf"
"501"	"young penguins that survived"	"yosh pingvinchalar foizi"	"S425_stimulus2_t1tr4td1_5c9d22abe8b6f6.66159024_2_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"2883"	"Can this question be answered by scientific experiments?"	"Ushbu savolga ilmiy tadqiqotlar yordamida javob olish mumkinmi?"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_uzb-UZB_SCI_S638-OilSpills_en21_MS2022.xlf"
"1390"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S603_question5_itemDirections5_5c9d227ab24c25.05100364_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1714"	"Species B"	"B tur"	"S608_stimulus2_le22_5c9d227b14ad53.48584981_0"	"PISA_uzb-UZB_SCI_S608-Ammonoids_en21_MS2022.xlf"
"1294"	"branches with ants"	"bor bo'lgan B tur shoxlar"	"S603_stimulus1_le4_5c9d227aa45166.22309834_2_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"3173"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c627d81.36978752_1_0"	"PISA_uzb-UZB_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"465"	"Location"	"3-joy"	"S425_stimulus2_t1tr1td4_5c9d22abe895b2.97728788_0_0"	"PISA_uzb-UZB_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"1321"	"Species B"	"B tur"	"S603_intro_span2_5c9d227aa7d4b7.00858360_0"	"PISA_uzb-UZB_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"1984"	"Medium"	"O'rta"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_uzb-UZB_SCI_S615-Tsunami_en21_MS2022.xlf"
"3128"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"question2_1_itemDirections02_5c9d227c5dc4b8.48201619_1_0"	"PISA_uzb-UZB_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"1569"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing.&lt;/i&gt;"	"S605_question3_itemDirections3_5c9d227add7008.26251355_1_0"	"PISA_uzb-UZB_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2615"	"Medium"	"O'rta"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_uzb-UZB_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"743"	"No"	"Ishlov"	"S438_stimulus2_chem16_5c9d22ac1c5237.09689073_0_0"	"PISA_uzb-UZB_SCI_S438-GreenParks_en21_MS2022.xlf"
"2539"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"question4_1_itemDirections04_5c9d227bc5f702.32317931_1_0"	"PISA_uzb-UZB_SCI_S634-Vaccination_en21_MS2022.xlf"
"2365"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun tanlovingiz ustiga bosing, so'ngra izoh kiriting.&lt;/i&gt;"	"S629_question3_itemDirections3_5c9d227bade634.52894513_1_0"	"PISA_uzb-UZB_SCI_S629-SolarCooker_en21_MS2022.xlf"
