"Segment"	"en-ZZ"	"es-PE"	"ID"	"File"
"6172"	"Click &lt;b&gt;NO&lt;/b&gt; if the sentence does not make sense."	"Haz clic  en &lt;b&gt;NO&lt;/b&gt; si la oración no tiene sentido."	"q3R590_question_q3p1_56fd23111960a4.54446684_2_0"	"PISA_esp-PER_REA_R590-Sentences01_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Haz clic en la flecha SIGUIENTE para leer la página web."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada afirmación."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3019"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_1_0"	"PISA_esp-PER_REA_R552-FestiRock_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Haz clic en una opción y luego escribe una explicación que responda a la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-PER_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4439"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"PUBLICACIÓN DEL I.E.S. ZEDLANDIA"	"R563-stimulus-communtity_news-caption_56fc786b37ee87.31803491_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5746"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_0_0"	"PISA_esp-PER_REA_R569-TheCleanup_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿la afirmación es verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-PER_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5270"	"False"	"Falsa"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_esp-PER_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5648"	"Read the information below."	"Lee la información a continuación."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_esp-PER_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4167"	"True"	"Verdadera"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_esp-PER_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2102"	"True"	"Verdadera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_esp-PER_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4838"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Lee los carteles a la derecha haciendo clic  en cada pestaña."	"R565_question_itemDirections_56fc785d5c2e04.42459264_0_0"	"PISA_esp-PER_REA_R565-SittingDisease_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tus respuestas a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-PER_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Entre S/. 1500 y S/. 2999,90 &lt;br /&gt;"	"R466_stimulus_sect3left_50c7c8c8162e36.03331507_0"	"PISA_esp-PER_REA_R466-WorkRight_en15_MS2022.xlf"
"5007"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_esp-PER_REA_R566-SkelligRocks_en18_MS2022.xlf"
