"Segment"	"en-ZZ"	"es-DO"	"ID"	"File"
"1021"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_50c7a689365122.29227973_0"	"PISA_esp-DOM_MAT_M939-Racing_en15_MS2022.xlf"
"1339"	"China"	"Canadá"	"M955_stimulus_tr5td1_50c7911dc1f614.18638953_0"	"PISA_esp-DOM_MAT_M955-Migration_en15_MS2022.xlf"
"1022"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_50c7a689365585.83250246_0"	"PISA_esp-DOM_MAT_M939-Racing_en15_MS2022.xlf"
"1345"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50c7911dc20c91.14565540_0"	"PISA_esp-DOM_MAT_M955-Migration_en15_MS2022.xlf"
"318"	"0"	"A"	"Q2M411_question_attr_value_attr_M411Q02RADIO_0_50c7848c73c618.16927750_0"	"PISA_esp-DOM_MAT_M411-Diving_en15_MS2022.xlf"
"1023"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_50c7a6893659f2.15826710_0"	"PISA_esp-DOM_MAT_M939-Racing_en15_MS2022.xlf"
"92"	"0"	"A"	"Q4M155_question_attr_value_attr_M155Q04RADIO_4_1_50c7a25289e506.90965625_0"	"PISA_esp-DOM_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1062"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-DOM_MAT_M943-Arches_en15_MS2022.xlf"
"1248"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Muestra cómo encontraste tu respuesta.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77e7eedc4c1.48113038_0"	"PISA_esp-DOM_MAT_M953-FluTest_en15_MS2022.xlf"
"90"	"0"	"A"	"Q4M155_question_attr_value_attr_M155Q04RADIO_3_1_50c7a25289e357.54941916_0"	"PISA_esp-DOM_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"204"	"select"	"selecciona"	"Q1M273_question_s2o0_50c789d19b77f5.57861707_0"	"PISA_esp-DOM_MAT_M273-Pipelines_en15_MS2022.xlf"
"869"	"&lt;i&gt;Refer to &quot;Speeding Fines&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Consulta &quot;Multas por exceso de velocidad&quot; de la derecha. Usando las teclas de números, escribe tu respuesta a la pregunta.&lt;/i&gt;"	"Q3M909_question_Q3itemDirections_50c79db87e26d4.75890527_0"	"PISA_esp-DOM_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt;Muestra cómo encontraste la respuesta.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50c7a2526c3a48.66332457_0"	"PISA_esp-DOM_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"88"	"0"	"A"	"Q4M155_question_attr_value_attr_M155Q04RADIO_2_1_50c7a25289e1b7.66671330_0"	"PISA_esp-DOM_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"481"	"0"	"A"	"Q1M474_question_attr_value_attr_M474Q01RADIO_0_50c785971d69f8.56812590_0"	"PISA_esp-DOM_MAT_M474-RunningTime_en15_MS2022.xlf"
"1434"	"&lt;b&gt;Employment Data&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Datos sobre el empleo&lt;/b&gt;&lt;br /&gt;Pregunta"	"Q4M982_question_Q4itemTitle_50c79340664428.58171252_0"	"PISA_esp-DOM_MAT_M982-EmploymentData_en15_MS2022.xlf"
"214"	"select"	"selecciona"	"Q1M273_question_s4o0_50c789d19b9eb7.83448325_0"	"PISA_esp-DOM_MAT_M273-Pipelines_en15_MS2022.xlf"
"197"	"select"	"selecciona"	"Q1M273_question_s1o0_50c789d19b6172.26401434_0"	"PISA_esp-DOM_MAT_M273-Pipelines_en15_MS2022.xlf"
"209"	"select"	"selecciona"	"Q1M273_question_s3o0_50c789d19b8b97.56421853_0"	"PISA_esp-DOM_MAT_M273-Pipelines_en15_MS2022.xlf"
"1020"	"Runner A"	"El corredor  A"	"Q2M939_question_question2_1_50c7a689364cb4.15054680_0"	"PISA_esp-DOM_MAT_M939-Racing_en15_MS2022.xlf"
"86"	"0"	"A"	"Q4M155_question_attr_value_attr_M155Q04RADIO_1_1_50c7a25289df94.90604413_0"	"PISA_esp-DOM_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Usando las teclas de números, escribe tu respuesta a la pregunta.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a57902c058.42888980_0"	"PISA_esp-DOM_MAT_M464-Fence_en15_MS2022.xlf"
"1336"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50c7911dc1ec24.28443880_0"	"PISA_esp-DOM_MAT_M955-Migration_en15_MS2022.xlf"
