"Segment"	"en-ZZ"	"nb-NO"	"ID"	"File"
"1384"	"India"	"Kina"	"M955_stimulus_tr7td1_50c7906f7ce221.83745855_0"	"PISA_nob-NOR_MAT_M955-Migration_en15_MS2022.xlf"
"618"	"False"	"Usant"	"Q1M603_question_Q1tr1th3_50c785fff40925.55620353_0"	"PISA_nob-NOR_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1378"	"China"	"India"	"M955_stimulus_tr5td1_50c7906f7ccd53.34131029_0"	"PISA_nob-NOR_MAT_M955-Migration_en15_MS2022.xlf"
"275"	"True"	"Riktig"	"Q1M408_question_Q1tr1th2_50c7a7fbcd4ca1.09591703_0"	"PISA_nob-NOR_MAT_M408-Lotteries_en15_MS2022.xlf"
"335"	"True"	"Riktig"	"Q1M420_question_Q1tr1th2_50c778ebda67f4.88200305_0"	"PISA_nob-NOR_MAT_M420-Transport_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Bruk talltastene når du skriver svaret ditt på spørsmålet.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a4d141c748.69876277_0"	"PISA_nob-NOR_MAT_M464-Fence_en15_MS2022.xlf"
"274"	"Statement"	"Påstand"	"Q1M408_question_Q1tr1th1_50c7a7fbcd49f0.04012026_0"	"PISA_nob-NOR_MAT_M408-Lotteries_en15_MS2022.xlf"
"1332"	"&lt;i&gt;y&lt;/i&gt; × &lt;i&gt;A&lt;/i&gt;"	"&lt;i&gt;a&lt;/i&gt; ∙ &lt;i&gt;V&lt;/i&gt;"	"M954_stimulus2_stimulus2_4_50c78b45f26854.85551088_0"	"PISA_nob-NOR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"334"	"Statement"	"Påstand"	"Q1M420_question_Q1tr1th1_50c778ebda65c1.01881336_0"	"PISA_nob-NOR_MAT_M420-Transport_en15_MS2022.xlf"
"617"	"True"	"Sant"	"Q1M603_question_Q1tr1th2_50c785fff406a2.91649283_0"	"PISA_nob-NOR_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1287"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Vis hvordan du kom fram til svaret ditt.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77dd58aa6c0.37598578_0"	"PISA_nob-NOR_MAT_M953-FluTest_en15_MS2022.xlf"
"616"	"Statement"	"Påstand"	"Q1M603_question_Q1tr1th1_50c785fff40429.71334693_0"	"PISA_nob-NOR_MAT_M603-NumberCheck_en15_MS2022.xlf"
