"Segment"	"en-ZZ"	"eu-ES"	"ID"	"File"
"2372"	"decrease"	"txikitu"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Abiarazi simulazioa, beheko informazioan oinarritutako datuak biltzeko. Egin klik lauki batean edo gehiagotan, galderari erantzuteko.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Hondamendi naturalen ondorioetatik osatzeko jendeari laguntzea."	"S514_question3_tr4td1_50ed29cf7a5589.27229409_0"	"PISA_eus-ESP_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"536"	"S438 Green Parks"	"S438 PARKE BERDEAK"	"S438_stimulus2_unknownID_50ec56891725a2.09889795_0"	"PISA_eus-ESP_SCI_S438-GreenParks_en15_MS2022.xlf"
"2376"	"decrease"	"txikitu"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"82"	"Fats"	"Koipe"	"S326_stimulus2_t2tr2td1_50ec49fa2fe010.92082363_0"	"PISA_eus-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"2943"	"Earth"	"Lurra"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_eus-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
"88"	"Proteins"	"Proteina"	"S326_stimulus2_t3tr2td2_50ec49fa300084.31892691_0"	"PISA_eus-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"83"	"Proteins"	"Proteina"	"S326_stimulus2_t2tr2td2_50ec49fa2fe319.55037254_0"	"PISA_eus-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Gaixobera:&lt;/b&gt; Egoera honetan dauden gizabanakoak ez daude gaixotasuna prebenitzeko txertatuta eta gaixotasuna harrapa dezakete."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_eus-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Goritasunezko bonbillena"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2432"	"2000"	"2.000"	"stimulus2_1_ylabel_2000p_51940bae4f60a8.91837676_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2248"	"1000"	"1.000"	"js_translation_data_1000_51940bae34c777.31998533_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"handitu"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterioa."	"S478_question1_question1_3_50ed1d6cbbc582.61316202_0"	"PISA_eus-ESP_SCI_S478-Antibiotics_en15_MS2022.xlf"
"87"	"Fats"	"Koipe"	"S326_stimulus2_t3tr2td1_50ec49fa2ffd83.75581376_0"	"PISA_eus-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"637"	"Dairytown"	"Beherri"	"S466_stimulus2_label5_50ed23df5498b0.40515722_0"	"PISA_eus-ESP_SCI_S466-ForestFires_en15_MS2022.xlf"
"976"	"Rural"	"Landagunean"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_eus-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Egin klik aukera batean, galderari erantzuteko.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_eus-ESP_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Egin klik aukera batean, galderari erantzuteko.&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_eus-ESP_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"71"	"Carbohydrates"	"Karbohidratoak"	"S326_stimulus1_t1tr4td1_50ec49fa2ddcb8.59888001_0"	"PISA_eus-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Simulazio honek aukera emango dizu A substantziaren eta B substantziaren arteko erreakzioaren emaitzak ikusteko. Bi substantzien bolumenek ekoitzitako partikulei eta erreakzio-denborari nola eragiten dieten aztertuko duzu."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_eus-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2043"	"12"	"24"	"S629_question3_y21_515e3a728516e1.80611963_0"	"PISA_eus-ESP_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2346"	"."	"egingo da."	"question3_1_q03sp1_51940bae405453.46459374_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Baxua"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"handitu"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"handitu"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"634"	"Greytown"	"Goierri"	"S466_stimulus2_label2_50ed23df549098.94286541_0"	"PISA_eus-ESP_SCI_S466-ForestFires_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Bonbilla halogenoena"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Egin klik aukera batean, galderari erantzuteko.&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_eus-ESP_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1681"	"May"	"Mai."	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_eus-ESP_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2433"	"1000"	"1.000"	"stimulus2_1_ylabel_1000p_51940bae4f6304.12006161_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2944"	"Mars"	"Marte"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_eus-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
"737"	"No"	"EZ"	"S498_question3_question3_2_50ec5cf776aa69.32606840_0"	"PISA_eus-ESP_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Lanpara fluoreszente konpaktuena"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2659"	"Compact CFL"	"Lanpara fluoreszente&lt;br/&gt;konpaktua"	"sim_1_q02sim3_51940c102b1c94.13513006_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"636"	"Earltown"	"Txorierri"	"S466_stimulus2_label4_50ed23df549674.32779893_0"	"PISA_eus-ESP_SCI_S466-ForestFires_en15_MS2022.xlf"
"2945"	"Uranus"	"Urano"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_eus-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Galdera honi erantzun al diezaioke esperimentu zientifiko batek?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_eus-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"936"	"lower"	"baxuagoak"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_eus-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2375"	"increase"	"handitu"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Galdera bati erantzuteko datuen ilara bat hautatu nahi baduzu, egin klik ilararen edozein tokitan. Hautatzen dituzun ilarei izar bana jarriko zaie alboan."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_eus-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2456"	"Low"	"Baxua"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Altua"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2453"	"High"	"Altua"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2345"	"decrease"	"txikitu"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2031"	"12"	"24"	"S629_question3_y1_515e3a7284c960.06555760_0"	"PISA_eus-ESP_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2246"	"High"	"Altua"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2438"	"1000"	"1.000"	"stimulus2_1_ylabel_1000z_51940bae4f7677.00286165_0"	"PISA_eus-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"LED bonbillena"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_eus-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2920"	"Explain your answer."	"Azaldu erantzuna."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_eus-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
"736"	"Yes"	"BAI"	"S498_question3_question3_1_50ec5cf776a6b8.24396852_0"	"PISA_eus-ESP_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
