"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"2861"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lea la introducción. Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-CRI_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2460"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lea la introducción. Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"2096"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lea la introducción. Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-CRI_SCI_S634-Vaccination_en15_MS2022.xlf"
"2814"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realice la simulación para obtener datos basándose en la siguiente información. Dele clic en una opción y escriba la explicación solicitada.&lt;/i&gt;"	"question5_1_itemDirections05_5179d18c7fbf06.16538288_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1535"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Lea la introducción. Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-CRI_SCI_S615-Tsunami_en15_MS2022.xlf"
"2239"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2364"	"select"	"Seleccione"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2298"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puede usar los siguientes controles:"	"menu_1_menuP2_517c866cc3d340.63445361_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2937"	"Earth"	"Tierra"	"S648_stimulus1_le2_51543fc7166672.48981646_0"	"PISA_esp-CRI_SCI_S648-HabitableZone_en15_MS2022.xlf"
"731"	"No"	"NO"	"S498_question3_question3_2_5134b995775ae7.12961715_0"	"PISA_esp-CRI_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2119"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Recuerde seleccionar  &lt;b&gt;una o varias&lt;/b&gt; casillas."	"question1_1_q1p3_5179d18b0ff3a1.14274601_0"	"PISA_esp-CRI_SCI_S634-Vaccination_en15_MS2022.xlf"
"2494"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-CRI_SCI_S638-OilSpills_en15_MS2022.xlf"
"639"	"Bacteria"	"Las bacterias."	"S478_question1_question1_3_5134b99514dca3.94616658_0"	"PISA_esp-CRI_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2777"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"Esta simulación le permite observar los resultados de una reacción entre la sustancia A y la sustancia B. Usted estudiará cómo los volúmenes de las dos sustancias afectan el tamaño de las partículas producidas y el tiempo de reacción."	"question1_1_q01p1_5179d18c787460.44733241_0"	"PISA_esp-CRI_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2602"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question4_1_itemTitle04_5179d18c3c29d9.69203028_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2334"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"730"	"Yes"	"SI"	"S498_question3_question3_1_5134b995774ac3.39558134_0"	"PISA_esp-CRI_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2615"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillos&lt;/b&gt;&lt;br /&gt; Preguntas"	"question5_1_itemTitle05_5179d18c3df6d4.51409668_0"	"PISA_esp-CRI_SCI_S643-LightBulbs_en15_MS2022.xlf"
"3004"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-CRI_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2444"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2447"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-CRI_SCI_S635-SaveTheFish_en15_MS2022.xlf"
