"Segment"	"en-ZZ"	"en-QA"	"ID"	"File"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"What is the total value of the Work Right* office supplies that you have purchased?&lt;br /&gt;"	"R466_stimulus_section3_50d37b8ce6fbf2.38412315_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Type your answers to the question."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_eng-QAT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SOUTH POLE - DOCUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50d374e277a138.73159799_0"	"PISA_eng-QAT_REA_R220-SouthPole_en15_MS2022.xlf"
"1058"	"Address:"	"P.O. Box:"	"R466_stimulus_line9_50d37b8ce6d879.37512158_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"1062"	"County/ State:"	"Town / City:"	"R466_stimulus_s2line11_50d37b8ce6eb22.37059987_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"1562"	"Thursday"	"Wednesday"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_eng-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1563"	"Friday"	"Thursday"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_eng-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1560"	"Tuesday"	"Monday"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_eng-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"According to the brochure, is the statement true or false?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_eng-QAT_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;10 Years QR1000 offer&lt;br /&gt; Marketing Management&lt;br /&gt; P.O. Box 35111&lt;br /&gt;‘’E’’ Ring Road&lt;br /&gt;Doha&lt;br /&gt;Qatar&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50d37b8ce6bb80.77773541_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SOUTH POLE - DOCUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50d374e27fcab0.24033363_0"	"PISA_eng-QAT_REA_R220-SouthPole_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; For purchases between QR600 and QR1499, Work Right will reimburse you QR&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; For purchases between QR1500 and QR2999, Work Right will reimburse you QR500.&lt;br /&gt; &gt; For purchases of QR3000 or more, Work Right will reimburse you QR1000.&lt;br /&gt;"	"R466_stimulus_line5_50d37b8ce6b532.26446279_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Between QR1500 and QR2999 &lt;br /&gt;"	"R466_stimulus_sect3left_50d37b8ce70c70.71242968_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"W"	"R219_stimulus_stimulus_7_50d36e1df37e01.28638474_0"	"PISA_eng-QAT_REA_R219-Employment_en15_MS2022.xlf"
"1559"	"Monday"	"Sunday"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_eng-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Click on a choice and then type an explanation to answer the question."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_eng-QAT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; &amp;mdash; A copy of your proof of purchase&lt;br /&gt; &amp;mdash; The bar code(s) or price tag(s) of the original products &lt;br /&gt;"	"R466_stimulus_sect3right_50d37b8ce71447.46208246_0"	"PISA_eng-QAT_REA_R466-WorkRight_en15_MS2022.xlf"
"1561"	"Wednesday"	"Tuesday"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_eng-QAT_REA_R542-BulletinBoard_en18_MS2022.xlf"
