"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; ให้แสดงวิธีการหาคำตอบด้วย&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50d35d1cb709c2.84262379_0"	"PISA_tha-THA_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1384"	"India"	"เนเธอร์แลนด์"	"M955_stimulus_tr7td1_50d3502da59320.40976888_0"	"PISA_tha-THA_MAT_M955-Migration_en15_MS2022.xlf"
"1428"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"ให้ใช้แป้นตัวเลข พิมพ์คำตอบของ&lt;br /&gt;นักเรียนเพื่อตอบคำถาม&lt;/i&gt;"	"Q1M967_question_Q1itemDirections_5c9d20c9d123d8.37833244_1_0"	"PISA_tha-THA_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"1033"	"D"	"ง"	"M939_stimulus_label7_5c9d20c9a72ae6.49724453_0"	"PISA_tha-THA_MAT_M939-Racing_en21_MS2022.xlf"
"1031"	"B"	"ข"	"M939_stimulus_label5_5c9d20c9a72959.78629404_0"	"PISA_tha-THA_MAT_M939-Racing_en21_MS2022.xlf"
"1032"	"C"	"ค"	"M939_stimulus_label6_5c9d20c9a72a10.26747370_0"	"PISA_tha-THA_MAT_M939-Racing_en21_MS2022.xlf"
"1375"	"Canada"	"จีน"	"M955_stimulus_tr4td1_50d3502da57408.28429471_0"	"PISA_tha-THA_MAT_M955-Migration_en15_MS2022.xlf"
"656"	"Step 3:"	"ขัน้ ที่ 3:"	"M603_stimulus2_s2_s3_1_50d34814bc2f25.83476224_0"	"PISA_tha-THA_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1378"	"China"	"ตุรกี"	"M955_stimulus_tr5td1_50d3502da57e76.78519954_0"	"PISA_tha-THA_MAT_M955-Migration_en15_MS2022.xlf"
"1338"	"&lt;i&gt;C&lt;/i&gt; = child dose in appropriate units"	"&lt;i&gt;C&lt;/i&gt; = ปริมาณการให้ยาในเด็ก ในหน่วยที่&lt;br/&gt;เหมาะสม"	"M954_stimulus2_s2_tr3td2_50d34c25599102.86839784_0"	"PISA_tha-THA_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"652"	"Step 1:"	"ขัน้ ที่ 1:"	"M603_stimulus2_s2_s1_1_50d34814bc23f3.97446972_0"	"PISA_tha-THA_MAT_M603-NumberCheck_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ให้ใช้แป้นตัวเลข พิมพ์คำตอบของนักเรียนเพื่อตอบคำถาม&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35f8d9086b0.69860356_0"	"PISA_tha-THA_MAT_M464-Fence_en15_MS2022.xlf"
"654"	"Step 2:"	"ขัน้ ที่ 2:"	"M603_stimulus2_s2_s2_1_50d34814bc2872.28829482_0"	"PISA_tha-THA_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1030"	"A"	"ก"	"M939_stimulus_label4_5c9d20c9a72893.35708408_0"	"PISA_tha-THA_MAT_M939-Racing_en21_MS2022.xlf"
"917"	"2000"	"2,000"	"Q1M915_question_label11_50d34dc34998b6.22709297_0"	"PISA_tha-THA_MAT_M915-CarbonTax_en15_MS2022.xlf"
"647"	"M603 Number Check"	"M603 M603 ตรวจสอบจำนวน"	"M603_stimulus2_unknownID_50d34814bc0d84.82400130_0"	"PISA_tha-THA_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1337"	"&lt;i&gt;C&lt;/i&gt; = child dose in appropriate units"	"&lt;i&gt;C&lt;/i&gt; = ปริมาณการให้ยาในเด็ก ในหน่วยที่&lt;br/&gt;เหมาะสม"	"M954_stimulus2_s2_tr3td1_50d34c25598e59.50328927_0"	"PISA_tha-THA_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 ข้อมูลการจ้างงาน  คาถามที่ 3"	"Q4M982_question_unknownID_50d351ca730b71.11284131_0"	"PISA_tha-THA_MAT_M982-EmploymentData_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"จงคลิกเลือก &lt;b&gt;จริง&lt;/b&gt; หรือ &lt;b&gt;เท็จ&lt;/b&gt; ในแต่ละข้อความข้างล่าง&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50d340d8b11802.73763636_0"	"PISA_tha-THA_MAT_M420-Transport_en15_MS2022.xlf"
