"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"2524"	"Question"	"سؤال"	"R547_question6_itemTitle_5c9d219f1d95c1.49053760_2_0"	"PISA_ara-SAU_REA_R547-BookSurvey_en21_MS2022.xlf"
"4587"	"Question"	"سؤال"	"R565_question2_itemTitle_5c9d225af32c55.94289748_2_0"	"PISA_ara-SAU_REA_R565-SittingDisease_en21_MS2022.xlf"
"3628"	"Question"	"سؤال"	"R558_question5_itemTitle_5c9d2259db4af4.43992147_2_0"	"PISA_ara-SAU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2334"	"Question"	"سؤال"	"R545_question03_Q03itemTitle_5c9d219edb2408.07397902_2_0"	"PISA_ara-SAU_REA_R545-MachuPicchu_en21_MS2022.xlf"
"1902"	"Question"	"سؤال"	"Q05R542_question_Q05itemTitle_5c9d219e5b8d41.36638114_2_0"	"PISA_ara-SAU_REA_R542-BulletinBoard_en21_MS2022.xlf"
"5003"	"Question"	"سؤال"	"R567_question11_q11itemTitle_5c9d225b6e1991.99824020_2_0"	"PISA_ara-SAU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4634"	"Newspaper Article"	"المقالة الصحفية"	"R566_Stimulus01_stimulus1_4_5c9d225b1ba0c1.01552199_0"	"PISA_ara-SAU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3122"	"Question"	"سؤال"	"R552_question01_q01itemTitle_5c9d219fab0dd2.95338491_2_0"	"PISA_ara-SAU_REA_R552-FestiRock_en21_MS2022.xlf"
"2223"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"أنقر على الخيارات الموجودة في الجدول للإجابة عن السؤال.&lt;/i&gt;"	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_ara-SAU_REA_R544-Tesla_en21_MS2022.xlf"
"4936"	"Question"	"سؤال"	"R567_question09_q09itemTitle_5c9d225b667041.69690082_2_0"	"PISA_ara-SAU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4479"	"Question"	"سؤال"	"R564_question05_q05itemTitle_5c9d225adc06b2.28255087_2_0"	"PISA_ara-SAU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"2271"	"Question"	"سؤال"	"R544_question9_itemTitle_5c9d219eb9de05.12427173_2_0"	"PISA_ara-SAU_REA_R544-Tesla_en21_MS2022.xlf"
"2027"	"Question"	"سؤال"	"R543_question1_itemTitle_5c9d219e7965e6.17378823_2_0"	"PISA_ara-SAU_REA_R543-Nobel_en21_MS2022.xlf"
"3313"	"Question"	"سؤال"	"R553_question4_q04itemTitle_5c9d219fde8a51.75405042_2_0"	"PISA_ara-SAU_REA_R553-HealthForum_en21_MS2022.xlf"
"4814"	"Question"	"سؤال"	"R566_question09_q09itemTitle_5c9d225b351852.32279220_2_0"	"PISA_ara-SAU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2744"	"Click on the choices in the table to answer the question."	"أنقر على الخيارات الموجودة في الجدول للإجابة عن السؤال."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_ara-SAU_REA_R549-MessageInABottle_en21_MS2022.xlf"
"2341"	"True"	"صحيحة"	"R545_question03_Q03tr1th2_5c9d219edb29c7.50298633_0"	"PISA_ara-SAU_REA_R545-MachuPicchu_en21_MS2022.xlf"
"3430"	"Introduction"	"المقدمة"	"question00_itemTitle00_5c9d21a01f0332.56917254_2_0"	"PISA_ara-SAU_REA_R556-Microlending_en21_MS2022.xlf"
"3497"	"Question"	"سؤال"	"R556_question8_itemTitle_5c9d21a02a9911.15243228_2_0"	"PISA_ara-SAU_REA_R556-Microlending_en21_MS2022.xlf"
"3294"	"Question"	"سؤال"	"R553_question2_q02itemTitle_5c9d219fdbbee6.11365818_2_0"	"PISA_ara-SAU_REA_R553-HealthForum_en21_MS2022.xlf"
"5006"	"Click on the choices in the table to answer the question."	"أنقر على الخيارات الموجودة في الجدول للإجابة عنٍ السؤال."	"R567_question11_q11itemDirections_5c9d225b6e1bf5.70371706_1_0"	"PISA_ara-SAU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4939"	"Click on the choices in the table to answer the question."	"أنقر على الخيارات الموجودة في الجدول للإجابة عنٍ السؤال."	"R567_question09_q09itemDirections_5c9d225b667296.26876893_1_0"	"PISA_ara-SAU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4124"	"Question"	"سؤال"	"R562_question02_q02itemTitle_5c9d225a85fdd3.82286561_2_0"	"PISA_ara-SAU_REA_R562-OpeningNight_en21_MS2022.xlf"
"4105"	"Introduction"	"المقدمة"	"q00body_itemTitle00_5c9d225a8337a7.03553724_2_0"	"PISA_ara-SAU_REA_R562-OpeningNight_en21_MS2022.xlf"
