"Segment"	"en-ZZ"	"en-AB"	"ID"	"File"
"3404"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Click on the options in the table to answer the question.&lt;/i&gt;"	"R556_question2_itemDirections_56fc783ac2dd82.36710021_1_0"	"PISA_eng-QSC_REA_R556-Microlending_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"Who’s in the Chat"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_eng-QSC_REA_R569-TheCleanup_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Click on the options in the table to answer the question.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_eng-QSC_REA_R547-BookSurvey_en18_MS2022.xlf"
"1673"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on one option to answer the question. &lt;/i&gt;"	"R543_question2_itemDirections_56fc7821351641.10631472_1_0"	"PISA_eng-QSC_REA_R543-Nobel_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Click on one option and type an explanation to answer the question."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_eng-QSC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2282"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on one option to answer the question. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e08b391.57814376_1_0"	"PISA_eng-QSC_REA_R547-BookSurvey_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Click on one option and then type an explanation to answer the question."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_eng-QSC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Click on the options in the table to answer the question.&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_eng-QSC_REA_R556-Microlending_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Type your answers to the question."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_eng-QSC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"According to the brochure, is the statement true or false?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_eng-QSC_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3718"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Click on the options in the table to answer the question.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_eng-QSC_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £&lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8e6ec4944.23015297_0"	"PISA_eng-QSC_REA_R466-WorkRight_en15_MS2022.xlf"
"2120"	"Type your answer to the question."	"Type your answer to the question.&lt;/i&gt;"	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_eng-QSC_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on one option to answer the question. &lt;/i&gt;"	"R547_question2_itemDirections_56fc782e072020.06902189_1_0"	"PISA_eng-QSC_REA_R547-BookSurvey_en18_MS2022.xlf"
"1708"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on one option to answer the question. &lt;/i&gt;"	"R543_question5_itemDirections_56fc782139b537.51630220_1_0"	"PISA_eng-QSC_REA_R543-Nobel_en18_MS2022.xlf"
"2254"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on one option to answer the question. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0460d7.64458893_1_0"	"PISA_eng-QSC_REA_R547-BookSurvey_en18_MS2022.xlf"
"5586"	"Click on a choice to answer the question."	"Click on one option  to answer the question."	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_eng-QSC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3640"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Click on the options in the table to answer the question.&lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_eng-QSC_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
