"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Napíš svoju odpoveď pomocou numerickej klávesnice.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a5619f3cc0.03527931_0"	"PISA_slo-SVK_MAT_M464-Fence_en15_MS2022.xlf"
"953"	"zeds"	"Hodnota v zedoch:"	"Q1M919_question_Q1sp1_50c78ce844c307.58294848_0"	"PISA_slo-SVK_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"1378"	"China"	"Holandsko"	"M955_stimulus_tr5td1_50c791033fdda4.52757732_0"	"PISA_slo-SVK_MAT_M955-Migration_en15_MS2022.xlf"
"1375"	"Canada"	"Čína"	"M955_stimulus_tr4td1_50c791033fd330.35960807_0"	"PISA_slo-SVK_MAT_M955-Migration_en15_MS2022.xlf"
"960"	"zeds"	"Hodnota v zedoch:"	"Q2M919_question_Q2sp1_50c78ce8461145.79336651_0"	"PISA_slo-SVK_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klikni na jednu z možností a odpovedz tak na otázku. &lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50c78580f21590.40130441_0"	"PISA_slo-SVK_MAT_M474-RunningTime_en15_MS2022.xlf"
"942"	"zeds"	""	"Q2M915_question_sp2_50c78deebfc4a3.18392757_0"	"PISA_slo-SVK_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1205"	"&lt;b&gt;Roof Truss Design&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;KONŠTRUKCIA KROVU&lt;/b&gt;&lt;br /&gt; Otázka"	"Q2M949_question_Q2itemTitle_50c7a9b6dc0650.18924993_0"	"PISA_slo-SVK_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1384"	"India"	"Kanada"	"M955_stimulus_tr7td1_50c791033ff2f1.28054370_0"	"PISA_slo-SVK_MAT_M955-Migration_en15_MS2022.xlf"
"917"	"2000"	"2 000"	"Q1M915_question_label11_50c78deebe34e3.00358521_0"	"PISA_slo-SVK_MAT_M915-CarbonTax_en15_MS2022.xlf"
"276"	"False"	"Neprav&amp;#173;da"	"Q1M408_question_Q1tr1th3_50c7a897c21660.18825510_0"	"PISA_slo-SVK_MAT_M408-Lotteries_en15_MS2022.xlf"
