"Segment"	"en-ZZ"	"mt-MT"	"ID"	"File"
"4442"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4398"	"Refer to the different webpages of the website on the right."	"Irreferi għall-webpages differenti tal-website fuq il-lemin."	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_0_0"	"PISA_mlt-MLT_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"3181"	"Introduction"	"Introduzzjoni."	"q00a-body_itemTitle00a_5c9d219fa9c812.24290287_2_0"	"PISA_mlt-MLT_REA_R552-FestiRock_en21_MS2022.xlf"
"5215"	"Click on a search result to answer the question."	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija."	"R568_question05_q05itemDirections_5c9d225b943d37.21487688_1_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5519"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00b-body_q00b-itemDirections_5c9d225be38126.14757364_0_0"	"PISA_mlt-MLT_REA_R570-TheFavour_en21_MS2022.xlf"
"4658"	"Type your answer to the question.&lt;/i&gt;"	"Ittajpja t-tweġiba tiegħek għall-mistoqsija.&lt;/i&gt;"	"R565_question2_itemDirections_5c9d225af32f63.48100809_1_0"	"PISA_mlt-MLT_REA_R565-SittingDisease_en21_MS2022.xlf"
"3710"	"Click on a search result to answer the question.&lt;/i&gt;"	"Ikklikkja fuq riżultat tat-tfittxija biex twieġeb il-mistoqsija.&lt;/i&gt;"	"R558_question7_itemDirections_5c9d2259de3d30.86993518_1_0"	"PISA_mlt-MLT_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5365"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00b-body_q00b-itemDirections_5c9d225bbd1911.77188529_0_0"	"PISA_mlt-MLT_REA_R569-TheCleanup_en21_MS2022.xlf"
"1810"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"&lt;b&gt;&lt;/b&gt;&lt;b&gt;&lt;/b&gt;xx"	"Q07_question_Q07p2_5c9d219e3bd593.06084435_1_0"	"PISA_mlt-MLT_REA_R541-Plastic_en21_MS2022.xlf"
"5244"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q0a-body_q0a-itemDirections_5c9d225b9c1047.88297843_0_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3953"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00bbody_q00bitemDirections_5c9d225a3256a8.05350415_0_0"	"PISA_mlt-MLT_REA_R560-GarbagePatch_en21_MS2022.xlf"
"5094"	"Web Search"	"Tfittxija fuq l-Internet"	"R568_stimulus4_pg04h1_5c9d225b8b31b0.83556759_0"	"PISA_mlt-MLT_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4799"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00b-body_q00b-itemDirections_5c9d225b2548f7.48007221_0_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2332"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Ikklikkja fuq għażla waħda imbagħad ittajpja l-ispjegazzjoni biex twieġeb il-mistoqsija.&lt;/i&gt;"	"R544_question6_itemDirections_5c9d219eb685e2.41999055_1_0"	"PISA_mlt-MLT_REA_R544-Tesla_en21_MS2022.xlf"
"1894"	"Introduction"	"Introduzzjoni."	"R542_question00_q00itemTitle_5c9d219e5568a4.56969920_2_0"	"PISA_mlt-MLT_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4805"	"Read the information below."	"Aqra l-informazzjoni li ġejja."	"q00c-body_q00c-itemDirections_5c9d225b268d16.70648842_0_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4703"	"Web Search"	"Tfittxija fuq l-Internet"	"R566_stimulus02_pg02h1_5c9d225b1cb230.57150775_0"	"PISA_mlt-MLT_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2291"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Ikklikkja fuq l-għażliet fit-tabella biex twieġeb il-mistoqsija&lt;/i&gt;."	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_mlt-MLT_REA_R544-Tesla_en21_MS2022.xlf"
