"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"2800"	"Summer"	"Nyáron"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_hun-HUN_REA_R550-CliffPalace_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"A kérdés megválaszolásához kattints az egyik válaszlehetőségre, majd gépelj be egy magyarázatot!"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_hun-HUN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints a táblázatban szereplő válaszlehetőségekre!&lt;/i&gt;"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_hun-HUN_REA_R556-Microlending_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Töltse ki&lt;/b&gt; az alábbi nyomtatványt!&lt;br /&gt; &lt;b&gt;3/ Csatolja&lt;/b&gt; a vásárlást igazoló blokkot és a vonalkódo(ka)t vagy az eredeti termék(ek) árcédulá(i)t!&lt;br /&gt; &lt;b&gt;4/ Küldje el&lt;/b&gt; a vásárlást követő 15 napon belül a következő címre::&lt;br /&gt;"	"R466_stimulus_section2_50c7c967775343.15956668_0"	"PISA_hun-HUN_REA_R466-WorkRight_en15_MS2022.xlf"
"3404"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"A kérdés megválaszolásához kattints a táblázatban szereplő válaszlehetőségekre!&lt;/i&gt;"	"R556_question2_itemDirections_56fc783ac2dd82.36710021_1_0"	"PISA_hun-HUN_REA_R556-Microlending_en18_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"A 10 ÉV 10 000 FT AJÁNLAT ÁLTALÁNOS FELTÉTELEI&lt;br /&gt; 1. Akciónkat nem vehetik igénybe olyan nagykereskedők és viszonteladók, akik ezen termékcsaládokat árulják. 2. Az ajánlat a következő KreatÍv termékeket érinti: Irodaszerek, nyomdai és reklámtermékek, elektronikai segédeszközök. Semmilyen más KreatÍv termékre nem vonatkozik az ajánlat, a bútortermékekre sem."	"R466_stimulus_section4_50c7c96777b6a6.03277508_0"	"PISA_hun-HUN_REA_R466-WorkRight_en15_MS2022.xlf"
"4942"	"Website"	"Webhely"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_hun-HUN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;A jobbra látható „A jövő embere&quot; című szöveg alapján válaszolj a kérdésre!"	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_hun-HUN_REA_R544-Tesla_en18_MS2022.xlf"
"593"	"Mar"	"már."	"R220_stimulus_mar_50c7c06c7fd1f9.27350519_0"	"PISA_hun-HUN_REA_R220-SouthPole_en15_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kattints mindegyik állításnál az &lt;b&gt;Igen&lt;/b&gt; vagy a &lt;b&gt;Nem&lt;/b&gt; válaszra!"	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_hun-HUN_REA_R549-MessageInABottle_en18_MS2022.xlf"
