"Segment"	"en-ZZ"	"fi-FI"	"ID"	"File"
"2663"	"Halogen"	"Halogeenilamppu"	"sim_1_q02sim5_51940c102b2833.62847084_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2698"	"Halogen"	"Halogeenilamppu"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Avun tarjoaminen luonnontuhojen uhreille"	"S514_question3_tr4td1_50ed2939481f23.78807456_0"	"PISA_fin-FIN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2450"	"None"	"Ei yhtään"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"750"	"Digestive Juices"	"Ruoansula-&lt;br /&gt;tusnesteitä"	"S498_stimulus2_label4_50ec5c51ae8dd4.87717035_0"	"PISA_fin-FIN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Pienloisteputkesta"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_fin-FIN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S638 Öljyvuodot"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_fin-FIN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"Ei yhtään"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Paljon"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"pienenee"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"130"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Tarkastele oikealla olevaa &quot;Hukkakaura&quot; -tekstiä. Vastaa napsauttamalla yhtä vaihtoehtoa.&lt;/i&gt;"	"S408_question4_itemDirections_4_50ec39a3916df6.32619989_0"	"PISA_fin-FIN_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"1523"	"Medium"	"Kohtalaisen kalteva"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_fin-FIN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2453"	"High"	"Paljon"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2008"	"&lt;b&gt;Solar Cooker&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aurinkokeitin&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S629_question2_qitemTitle2_515e3a72813533.60651738_0"	"PISA_fin-FIN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakteerit"	"S478_question1_question1_3_50ed1cd98ab5c9.61996706_0"	"PISA_fin-FIN_SCI_S478-Antibiotics_en15_MS2022.xlf"
"737"	"No"	"EI"	"S498_question3_question3_2_50ec5c51ab9475.67156817_0"	"PISA_fin-FIN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1465"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aivo-ohjattua robotiikkaa&lt;/b&gt;&lt;br /&gt; Tehtävä"	"S610_question2_QitemTitle2_51804e6bcf3483.26385704_0"	"PISA_fin-FIN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"2457"	"Medium"	"Kohta-&lt;br /&gt;laisesti"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Kohtalaisen kalteva"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_fin-FIN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2245"	"Medium"	"Kohta-&lt;br /&gt;laisesti"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_fin-FIN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
