"Segment"	"en-ZZ"	"es-ES"	"ID"	"File"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen quería la victoria en el Polo Sur. El 14 de enero de 1911, desembarcó en la Antártida, en la bahía de las Ballenas. Se preparó para pasar el invierno con ocho compañeros y 116 perros en Framheim, una base construida en la barrera de hielo de Ross. El 20 de octubre  de 1911, Amundsen y cuatro de sus hombres abandonaron Framheim para conquistar el Polo  Sur  con doce perros, en trineo. El 17 de noviembre, aproximadamente a 85º sur, llegaron al pie de una cordillera, la cordillera Transantártica, y entonces tuvieron que buscar un camino para cruzar. Entonces, empezaron una escalada terrible del glaciar de Axel Heibert, lleno de grietas."	"R220_stimulus_p2_50c7c0cbdc6246.80119893_0"	"PISA_esp-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt;Recuerda seleccionar &lt;b&gt;una o más&lt;/b&gt; casillas.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_esp-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"325"	"TO"	"A"	"R219_stimulus_sect4Line3span4_50c7b801658c64.81913825_0"	"PISA_esp-ESP_REA_R219-Employment_en15_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-ESP_REA_R542-BulletinBoard_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b80164c6a9.90482726_0"	"PISA_esp-ESP_REA_R219-Employment_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Por compras entre 60 € y 149,99 €, Ofiteca le reembolsa &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; €.&lt;br /&gt; &gt; Por compras entre 150 € y 299,99 €, Ofiteca le reembolsa 50 €.&lt;br /&gt; &gt; Por compras iguales o superiores a 300 €, Ofiteca le reembolsa 100 €.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9c47b4dd9.26661244_0"	"PISA_esp-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"656"	"&lt;i&gt;Refer to the two-page article &quot;Sleep&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta el artículo de dos páginas «El sueño» de la derecha. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"R404_question_itemDirections_50c7c8ac6fa286.46376315_0"	"PISA_esp-ESP_REA_R404-Sleep_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-ESP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulta la frase resaltada de &quot;Polo Sur&quot; que encontrarás a la derecha.  Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"R220_question_itemDirections_50c7c0cbd400f0.42105449_0"	"PISA_esp-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen quería la victoria en el Polo Sur. El 14 de enero de 1911, desembarcó en la Antártida, en la bahía de las Ballenas. Se preparó para pasar el invierno con ocho compañeros y 116 perros en Framheim, una base construida en la barrera de hielo de Ross. El 20 de octubre  de 1911, Amundsen y cuatro de sus hombres abandonaron Framheim para conquistar el Polo  Sur  con doce perros, en trineo. El 17 de noviembre, aproximadamente a 85º sur, llegaron al pie de una cordillera, la cordillera Transantártica, y entonces tuvieron que buscar un camino para cruzar. Entonces, empezaron una escalada terrible del glaciar de Axel Heibert, lleno de grietas."	"R220_stimulus_p2_50c7c0cbe3dcf0.96777705_0"	"PISA_esp-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b80164b966.60343439_0"	"PISA_esp-ESP_REA_R219-Employment_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tu respuesta a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
