"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"4764"	"Click on the choices in the table to answer the question."	"Clique nas opções na tabela para responder à questão."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_por-BRA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Selecione nos menus suspensos para responder à questão."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_por-BRA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Selecione nos menus suspensos para responder à questão."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_por-BRA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_por-BRA_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_por-BRA_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_por-BRA_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Use o teclado numérico e digite sua resposta."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_por-BRA_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Justifique sua resposta incluindo os valores numéricos."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_por-BRA_MAT_MA146-Fuel_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Clique em &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada afirmação da tabela abaixo."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_por-BRA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_por-BRA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_por-BRA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Justifique sua resposta incluindo os valores numéricos."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_por-BRA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"Em seguida clique na seta PRÓXIMO."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_por-BRA_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
