"Segment"	"en-ZZ"	"ca-ES"	"ID"	"File"
"2456"	"Low"	"Baix"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Assistència a la gent perquè es puguin recuperar dels efectes dels desastres naturals"	"S514_question3_tr4td1_50ed2a1b1a56d8.06893381_0"	"PISA_cat-ESP_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1619"	"Medium"	"Moderat"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_cat-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"71"	"Carbohydrates"	"Hidrats de carboni"	"S326_stimulus1_t1tr4td1_50ec4a4b9536a1.72787704_0"	"PISA_cat-ESP_SCI_S326-Milk_en15_MS2022.xlf"
"2458"	"High"	"Alt"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S629 La cuina solar"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_cat-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2244"	"Low"	"Baix"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1998"	"car tyres"	"pneumàtics"	"S627_stimulus3_title3_51740713bc8cd7.64406270_0"	"PISA_cat-ESP_SCI_S627-CarTyres_en15_MS2022.xlf"
"2370"	"select"	"selecciona"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"249"	"Scratch resistance"	"Resistència al ratllat"	"S413_question3_q3t2tr3td1_50ec42879df9e5.92099915_0"	"PISA_cat-ESP_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2453"	"High"	"Alt"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bé!&lt;br /&gt; Si us plau, clica a la fletxa SEGÜENT per continuar."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_cat-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2231"	"Please click on the NEXT arrow to continue."	"Si us plau, clica a la fletxa SEGÜENT per continuar."	"stimulus_1_automationMsg2_5193fde5a8b6f0.19499830_0"	"PISA_cat-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"267"	"Scratch resistance"	"Resistència al ratllat"	"S413_question3_q3t3tr6td1_50ec42879e5361.25528249_0"	"PISA_cat-ESP_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2246"	"High"	"Alt"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_cat-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
