"Segment"	"en-ZZ"	"es-SV"	"ID"	"File"
"5019"	"Mean"	"Media"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_esp-SLV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Para responder a la pregunta, escribe tu respuesta usando el teclado numérico."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_esp-SLV_MAT_MA141-WaterBill_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-SLV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Para responder a la pregunta, escribe tu respuesta con el teclado numérico."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_esp-SLV_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-SLV_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-SLV_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Para responder a la pregunta, escribe tu respuesta usando el teclado numérico."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_esp-SLV_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Para responder a la pregunta, selecciona dos opciones."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-SLV_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-SLV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Verdadero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; en cada una de las afirmaciones."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_esp-SLV_MAT_MA144-Yogurt_en21_MS2022.xlf"
"948"	"Height"	"Altura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-SLV_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_esp-SLV_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-SLV_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-SLV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_esp-SLV_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
