"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأنواع الغازِيَة&lt;/b&gt;&lt;br /&gt; سؤال"	"S657_question4_itemTitleqS4_518050dc4689a8.97679857_0"	"PISA_ara-ISR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"فسرّوا السبب.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_ara-ISR_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2453"	"High"	"عالٍ"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_ara-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;اقرؤوا المقدمة. ثم اضغطوا على سهم &quot;التالي&quot;.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_ara-ISR_SCI_S615-Tsunami_en15_MS2022.xlf"
"2452"	"Medium"	"متوسط"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_ara-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1705"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;أعاصير التورنادو &lt;/b&gt;&lt;br /&gt; سؤال"	"S620_Q5_QitemTitle5_51740713a4cac8.00241652_0"	"PISA_ara-ISR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"265"	"Transparency"	"الشفافية"	"S413_question3_q3t3tr5td1_50ec41d2520ec2.49325176_0"	"PISA_ara-ISR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2976"	"Caterpillar"	"يرقة"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_ara-ISR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S629  الفرن الشمسيّ"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_ara-ISR_SCI_S638-OilSpills_en15_MS2022.xlf"
"1651"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;أعاصير التورنادو &lt;/b&gt;&lt;br /&gt; سؤال"	"S620_question1_qitemTitle1_517407139e39a4.61105010_0"	"PISA_ara-ISR_SCI_S620-Tornadoes_en15_MS2022.xlf"
