"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"956"	"To run this simulation, follow these steps:"	"Följ de här stegen för att använda räknaren:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_swe-SWE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5019"	"Mean"	"Medelvärde (genomsnitt)"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_swe-SWE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Använd dra och släpp för att svara på frågan."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_swe-SWE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4182"	"55%"	"55 %"	"q1MA148_question_question01_6_5c9d21651b1584.71427368_0"	"PISA_swe-SWE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2570"	"4%"	"4 %"	"MA130_question03_question3_4_5c9d214b7a7632.75136150_0"	"PISA_swe-SWE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Svara på frågan genom att markera två rutor."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_swe-SWE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5278"	"Mean"	"Medelvärde (genomsnitt)"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_swe-SWE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4131"	"30%"	"30 %"	"MA147q4_question_question04_6_5c9d21650b70f6.04913867_0"	"PISA_swe-SWE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4740"	"50%"	"50 %"	"MA158_stimulus_r7c6_5c9d216579bf74.34054533_0"	"PISA_swe-SWE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1934"	"20%"	"20 %"	"MA124_stimulus1_MA124S01PiesLeftLowP6_5c9d214b3ed3f0.44129781_0"	"PISA_swe-SWE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
