"Segment"	"en-ZZ"	"nn-NO"	"ID"	"File"
"112"	"£11"	"110 kr"	"R102_stimulus_tr5td3_50c7aef069c503.59214457_0"	"PISA_nno-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på anten &lt;b&gt;Rett&lt;/b&gt; eller &lt;b&gt;Galen&lt;/b&gt; for kvar påstand."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_nno-NOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2802"	"Winter"	"Om vinteren"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_nno-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"100"	"£11"	"110 kr"	"R102_stimulus_tr3td3_50c7aef0698952.82119958_0"	"PISA_nno-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Kontorland gir deg &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; kroner i avslag når du kjøper for mellom 600 kroner og 1499 kroner.&lt;br /&gt; &gt; Kontorland gir deg 500 kroner i avslag når du kjøper for mellom 1500 kroner og 2999 kroner.&lt;br /&gt; &gt; Kontorland gir deg 1000 kroner i avslag når du kjøper for 3000 kroner eller meir.&lt;br /&gt;"	"R466_stimulus_line5_50c7c99633d087.18837495_0"	"PISA_nno-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"2801"	"Autumn"	"Om hausten"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_nno-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Svar på spørsmålet ved å klikke på eit alternativ, og grunngi deretter svaret ditt."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_nno-NOR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Viktig!  Ikkje gløym å leggje ved:&lt;/b&gt;&lt;br /&gt; &amp;mdash; ein kopi av kvitteringa på det du har kjøpt&lt;br /&gt; &amp;mdash; strekkoden/strekkodane eller prislappen/prislappane på sjølve varene&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c996342c21.45537244_0"	"PISA_nno-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"2799"	"Spring"	"Om våren"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_nno-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikk på anten &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nei&lt;/b&gt; for kvar utsegn."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_nno-NOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"517"	"16 hours&lt;br /&gt;of darkness"	"16 timar&lt;br /&gt;med mørke"	"R220_stimulus_label4_50c7c09c4a14e4.03287911_0"	"PISA_nno-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"205"	"£15"	"150 kr"	"R102_stimulus_tr22td3_50c7aef06c7a68.54757861_0"	"PISA_nno-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"4457"	"Date"	"Dato"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_nno-NOR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Fyll ut &lt;/b&gt; skjemaet nedanfor&lt;br /&gt; &lt;b&gt;3/ Legg ved &lt;/b&gt; ein kopi av kvitteringa på det du har kjøpt, pluss strekkoden/strekkodane eller prislappen/prislappane på dei produkta du har kjøpt.&lt;br /&gt; &lt;b&gt;4/ Send inn &lt;/b&gt;, til denne adressa innan 15 dagar etter kjøpet:&lt;br /&gt;"	"R466_stimulus_section2_50c7c99633d324.44667157_0"	"PISA_nno-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"587"	"Antarctic Circle"	"Den antarktiske&lt;br /&gt;polarsirkelen"	"R220_stimulus_label5_50c7c09c51e885.09687655_0"	"PISA_nno-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Er utsegna rett eller galen, ifølgje brosjyren?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_nno-NOR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"439"	"Antarctic Circle"	"Den antarktiske&lt;br /&gt; polarsirkelen"	"R220_stimulus_label5_50c7c09c436967.47465640_0"	"PISA_nno-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"Klikk på NESTE-pila for å lese avisartikkelen."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_nno-NOR_REA_R544-Tesla_en18_MS2022.xlf"
"965"	"&lt;i&gt;Refer to &quot;Gulf of Mexico&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Les artikkelen &quot;Mexicogolfen&quot; til høgre. Svar på spørsmålet ved å klikke på eit av alternativa.&lt;/i&gt;"	"R460_question_itemDirections_50c7cbcea0ae48.45090907_0"	"PISA_nno-NOR_REA_R460-GulfOfMexico_en15_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på anten &lt;b&gt;Rett&lt;/b&gt; eller &lt;b&gt;Galen&lt;/b&gt; for kvar påstand."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_nno-NOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Skriv svaret ditt på spørsmålet.&lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_nno-NOR_REA_R544-Tesla_en18_MS2022.xlf"
"70"	"R102 Shirts"	"R102 SKJORTER"	"R102_stimulus_unknownID_50c7aef06498a9.66024358_0"	"PISA_nno-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Klikk på anten &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nei&lt;/b&gt; for kvar aktivitet."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_nno-NOR_REA_R570-TheFavour_en18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"er 10 år&lt;br /&gt; &amp;ndash; og gir deg inntil"	"R466_stimulus_line1_50c7c99633b9e2.48931960_0"	"PISA_nno-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"186"	"£15"	"150 kr"	"R102_stimulus_tr18td3_50c7aef06ba009.57185067_0"	"PISA_nno-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Svar på spørsmålet ved å klikke på eit av treffa."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_nno-NOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Svar på spørsmålet ved å klikke på eit av treffa."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_nno-NOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1048"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Kjøp &lt;/b&gt; eitt eller fleire Kontorland-produkt* på same dagen frå den vanlege forhandlaren din mellom 15. desember og 31. januar:&lt;br /&gt;"	"R466_stimulus_section2_50c7c99633cd35.29176888_0"	"PISA_nno-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"438"	"16 hours&lt;br /&gt;of darkness"	"16 timar&lt;br /&gt;med mørke"	"R220_stimulus_label4_50c7c09c436610.04637416_0"	"PISA_nno-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Skriv svaret ditt på spørsmålet."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_nno-NOR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2800"	"Summer"	"Om sommaren"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_nno-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
