"Segment"	"en-ZZ"	"zh-HK"	"ID"	"File"
"1477"	"Yes"	"是"	"Q3M982_question_Q3tr1th2_50d351eda31662.96702234_0"	"PISA_zho-HKG_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 就業數據 Q4"	"Q4M982_question_unknownID_50d351eda45fe0.10204612_0"	"PISA_zho-HKG_MAT_M982-EmploymentData_en15_MS2022.xlf"
"807"	"Yes"	"是"	"Q2M905_question_question2_6_50d35601443605.67050535_0"	"PISA_zho-HKG_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1598"	"Yes"	"是"	"Q2M998_question_Q2tr1th2_50d352c76d7f52.63012104_0"	"PISA_zho-HKG_MAT_M998-BikeRental_en15_MS2022.xlf"
"783"	"No"	"否"	"Q1M905_question_Q1tr2th2_50d3560141ca63.93643071_0"	"PISA_zho-HKG_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1193"	"Yes"	"是"	"Q1M949_question_Q1tr1th2_50d36301422058.78338450_0"	"PISA_zho-HKG_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"942"	"zeds"	"ZEDS"	"Q2M915_question_sp2_50d34de74fd3f7.01666796_0"	"PISA_zho-HKG_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1210"	"Yes"	"是"	"Q2M949_question_Q2tr1th2_50d3630143e4d7.18028471_0"	"PISA_zho-HKG_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;使用數字鍵來輸入你在本題的答案。&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35fb0f3c3c4.27003766_0"	"PISA_zho-HKG_MAT_M464-Fence_en15_MS2022.xlf"
"1194"	"No"	"否"	"Q1M949_question_Q1tr1th3_50d363014222b8.12056723_0"	"PISA_zho-HKG_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1211"	"No"	"否"	"Q2M949_question_Q2tr1th3_50d3630143e794.41978012_0"	"PISA_zho-HKG_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"782"	"Yes"	"是"	"Q1M905_question_Q1tr2th1_50d3560141c7a1.54066644_0"	"PISA_zho-HKG_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1599"	"No"	"否"	"Q2M998_question_Q2tr1th3_50d352c76d8349.19303548_0"	"PISA_zho-HKG_MAT_M998-BikeRental_en15_MS2022.xlf"
"1454"	"No"	"否"	"Q2M967_question_Q2tr1th3_5c9d20c9d209d7.91554853_0"	"PISA_zho-HKG_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"808"	"No"	"否"	"Q2M905_question_question2_7_50d35601443a83.72521319_0"	"PISA_zho-HKG_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1478"	"No"	"否"	"Q3M982_question_Q3tr1th3_50d351eda318b7.52832688_0"	"PISA_zho-HKG_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1453"	"Yes"	"是"	"Q2M967_question_Q2tr1th2_5c9d20c9d208f1.50141356_0"	"PISA_zho-HKG_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
