"Segment"	"en-ZZ"	"ca-ES"	"ID"	"File"
"5577"	"Refer to the Web Search on the right."	"Consulta la cerca a Internet a la dreta."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_cat-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"A continuació clica la fletxa SEGÜENT per veure la primera pregunta."	"R404_question_introBullet3_50c7c8043aa568.01540319_0"	"PISA_cat-ESP_REA_R404-Sleep_en15_MS2022.xlf"
"4942"	"Website"	"Lloc web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_cat-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5542"	"True"	"Vertadera"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_cat-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"54"	"&lt;i&gt;Refer to the two-page newspaper article on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Vegeu l'article de diari de dues pàgines a la dreta. Escriviu la vostra resposta a la pregunta.&lt;/i&gt;"	"R102_question_itemDirections_50c7ae756a1997.91398304_0"	"PISA_cat-ESP_REA_R102-Shirts_en15_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; Recorda que has de seleccionar &lt;b&gt;una o diverses&lt;/b&gt; opcions.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; Recorda que has de seleccionar &lt;b&gt;una o diverses&lt;/b&gt; opcions.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_cat-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Consulta la cerca a Internet a la dreta."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5073"	"Refer to the Web Search on the right."	"Consulta la cerca a Internet a la dreta."	"R566_question05_q05itemDirections_56fc786b884b06.27057078_0_0"	"PISA_cat-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulta les dues fonts a la dreta clicant cada una de les pestanyes."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_cat-ESP_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Clica una opció per respondre la pregunta.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_cat-ESP_REA_R547-BookSurvey_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Consulta la cerca a Internet a la dreta."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"301"	"T"	"DJ"	"R219_stimulus_stimulus_7_50c7b747845f52.92455953_0"	"PISA_cat-ESP_REA_R219-Employment_en15_MS2022.xlf"
"5312"	"True"	"Vertadera"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3270"	"Products made from honey"	"Productes fets amb mel."	"R553_question4_question04_4_56fc784a600149.50110116_1_0"	"PISA_cat-ESP_REA_R553-HealthForum_en18_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_cat-ESP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"304"	"S"	"DG"	"R219_stimulus_stimulus_10_50c7b747846b25.87159204_0"	"PISA_cat-ESP_REA_R219-Employment_en15_MS2022.xlf"
"506"	"courageously"	"amb valentia"	"R220_stimulus_stimulusH_9_50c7c01d38e5e1.60736260_0"	"PISA_cat-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1665"	"A Prize for Peace"	"Un premi per la pau."	"R543_question11_question11_2_56fc782133e7b2.36296298_0"	"PISA_cat-ESP_REA_R543-Nobel_en18_MS2022.xlf"
"5313"	"False"	"Falsa"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"A continuació clica sobre la fletxa SEGÜENT per veure la primera pregunta."	"R220_question_introBullet3_50c7c01d245149.07761670_0"	"PISA_cat-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1664"	"Alfred Bernhard Nobel"	"Alfred Bernhard Nobel."	"R543_question11_question11_1_56fc782133e337.81489850_0"	"PISA_cat-ESP_REA_R543-Nobel_en18_MS2022.xlf"
"4226"	"Some of the information in Team_Awesome’s summary is different from the information Mark and Elizabeth gathered while working together."	"Alguna informació del resum de l'Equip_Fabulós no coincideix amb la informació que en Marc i l'Elisabet van reunir mentre treballaven junts."	"R561_question09_q09p1_56fc785d33f286.64825673_0_0"	"PISA_cat-ESP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5270"	"False"	"Falsa"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Clica una opció i a continuació escriu una explicació per respondre la pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_cat-ESP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4167"	"True"	"Vertadera"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_cat-ESP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2102"	"True"	"Vertadera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_cat-ESP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Per a compres entre 60 i 149,99 €, Ofimax us retornarà &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; €.&lt;br /&gt;&gt; Per a compres entre 150 i 299,99 €, Ofimax us retornarà 50 €.&lt;br /&gt; &gt; Per a compres iguals o superiors a 300 €, Ofimax us retornarà 100 €.&lt;br /&gt;"	"R466_stimulus_line5_50c7c919906987.24267947_0"	"PISA_cat-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"6172"	"Click &lt;b&gt;NO&lt;/b&gt; if the sentence does not make sense."	"Clica &lt;b&gt;NO&lt;/b&gt; si la frase no té sentit."	"q3R590_question_q3p1_56fd23111960a4.54446684_2_0"	"PISA_cat-ESP_REA_R590-Sentences01_en18_MS2022.xlf"
"5269"	"True"	"Vertadera"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"320"	"LOCATION"	"CIUTAT"	"R219_stimulus_sect4Line2span2_50c7b7478502b1.18492578_0"	"PISA_cat-ESP_REA_R219-Employment_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDICIONS GENERALS DE L'OFERTA 100 € PEL 10è ANIVERSARI&lt;br /&gt; 1. Queden exclosos de la promoció els majoristes i minoristes que venguin aquest tipus de productes. 2. L'oferta només és aplicable als següents tipus de productes Ofimax: articles de papereria, productes d'impressió i de promoció i material informàtic. Qualsevol altre tipus de producte queda exclòs de la promoció, en particular els productes de mobiliari"	"R466_stimulus_section4_50c7c91990d741.35633634_0"	"PISA_cat-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"4944"	"Website"	"Lloc web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_cat-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1312"	"True"	"Vertadera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_cat-ESP_REA_R541-Plastic_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Clica la fletxa SEGÜENT per llegir la història."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_cat-ESP_REA_R570-TheFavour_en18_MS2022.xlf"
"325"	"TO"	"A"	"R219_stimulus_sect4Line3span4_50c7b747851dd8.20152853_0"	"PISA_cat-ESP_REA_R219-Employment_en15_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulta les dues fonts a la dreta clicant cada una de les pestanyes."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_cat-ESP_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Segons el fullet, aquesta afirmació és vertadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_cat-ESP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Després clicla la fletxa SEGÜENT.&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_cat-ESP_REA_R556-Microlending_en18_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_cat-ESP_REA_R541-Plastic_en18_MS2022.xlf"
"500"	"his disappointment"	"amb desencís"	"R220_stimulus_stimulusH_5_50c7c01d38d345.37518514_0"	"PISA_cat-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clica &lt;b&gt;Vertadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; per a cada afirmació."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"Falsa"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_cat-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clica &lt;b&gt;Vertadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; per a cada afirmació."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_cat-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt; Recorda que has de seleccionar &lt;b&gt;una o diverses&lt;/b&gt; opcions.&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_cat-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Consulta la cerca a Internet a la dreta."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_cat-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
