"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Atzīmējiet &lt;b&gt;vienu vai vairākus&lt;/b&gt; atbilžu variantus.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_lav-LVA_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"262"	"High"	"Liels"	"S413_question3_q3t3tr3td2_50ec42af8e9930.54921521_0"	"PISA_lav-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Noklikšķini uz atbilžu variantiem tabulā, lai atbildētu uz jautājumu.&lt;/i&gt;"	"S415_question3_itemDirections3_50ec3de8e36282.77312765_0"	"PISA_lav-LVA_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2376"	"decrease"	"samazinās"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"243"	"Low"	"Zema"	"S413_question3_q3t1tr5td2_50ec42af8e24d2.31750616_0"	"PISA_lav-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2458"	"High"	"Liels"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_lav-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Atbildiet uz jautājumu, atzīmējot vienu atbilžu variantu.&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_lav-LVA_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2723"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Oglekļa dioksīds Zemes atmosfērā&lt;/b&gt;&lt;br /&gt; Jautājums"	"S645_question3_itemTitle3_5180507a8047c6.16315276_0"	"PISA_lav-LVA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"266"	"High"	"Liels"	"S413_question3_q3t3tr5td2_50ec42af8eb151.47703348_0"	"PISA_lav-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Izlasiet ievadu, tad noklikšķiniet uz bultiņas «TĀLĀK».&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_lav-LVA_SCI_S634-Vaccination_en15_MS2022.xlf"
