"Segment"	"en-ZZ"	"nl-NL"	"ID"	"File"
"1212"	"Vapour"	"Water&lt;br/&gt;damp"	"S605_stimulus1_span11_515e3a721e2b45.12369517_0"	"PISA_nld-NLD_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"737"	"No"	"NEE"	"S498_question3_question3_2_50ec5c563def41.57170089_0"	"PISA_nld-NLD_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"237"	"120°C"	"120 °C"	"S413_question3_q3t1tr2td2_50ec418fae5b37.39850918_0"	"PISA_nld-NLD_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Typ je antwoord op de vraag in. &lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_nld-NLD_SCI_S638-OilSpills_en15_MS2022.xlf"
"1310"	"stay the same"	"gelijk zal blijven"	"S607_question3_S607Q03SELECT23_5174071346abe7.58595054_0"	"PISA_nld-NLD_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik op één of meer vakjes om de vraag te beantwoorden. &lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_nld-NLD_SCI_S634-Vaccination_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Voer de simulatie uit om op basis van onderstaande informatie gegevens te verzamelen. Beantwoord de vraag door één van de opties aan te klikken. Typ daarna je uitleg."	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_nld-NLD_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"In de simulatie zal elke persoon van de populatie zich altijd in één van de volgende drie toestanden bevinden."	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_nld-NLD_SCI_S634-Vaccination_en15_MS2022.xlf"
"2339"	"select"	"Kies"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"Kies"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Besmettelijk&lt;/b&gt;: mensen in de deze toestand hebben de ziekte en kunnen anderen daarmee besmetten."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_nld-NLD_SCI_S634-Vaccination_en15_MS2022.xlf"
"2086"	"How to Run the Simulation"	"Hoe je de simulatie moet uitvoeren"	"menu_1_MenuHeading_5193fde595e614.09293724_0"	"PISA_nld-NLD_SCI_S634-Vaccination_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Vergeet niet &lt;b&gt;één of meer vakjes&lt;/b&gt; aan te klikken.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_nld-NLD_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Voor deze vraag heb je de simulatie niet nodig. Beantwoord de vraag door één van de opties aan te klikken. Typ daarna je uitleg.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_nld-NLD_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"936"	"lower"	"lager"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_nld-NLD_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Voor het uitvoeren van deze simulatie kun je de volgende besturingselementen gebruiken:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_nld-NLD_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"De knop 'Uitvoeren' om de resultaten te laten zien."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_nld-NLD_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Voor het uitvoeren van deze simulatie kun je de volgende besturingselementen gebruiken:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_nld-NLD_SCI_S634-Vaccination_en15_MS2022.xlf"
"1308"	"increase"	"zal toenemen"	"S607_question3_S607Q03SELECT21_5174071346a174.96935374_0"	"PISA_nld-NLD_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1354"	"Caterpillars hatch and eat leaves"	"De rupsen komen uit de eitjes en eten bladeren"	"S607_stimulus1_sl11_517407135d0c78.97389268_0"	"PISA_nld-NLD_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5c563deb27.68512298_0"	"PISA_nld-NLD_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"645"	"Bacteria"	"Bacteriën"	"S478_question1_question1_3_50ed1cddabb461.80532716_0"	"PISA_nld-NLD_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2452"	"Medium"	"Matig"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1309"	"decrease"	"zal afnemen"	"S607_question3_S607Q03SELECT22_5174071346a6b7.14780014_0"	"PISA_nld-NLD_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1523"	"Medium"	"Matig"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_nld-NLD_SCI_S615-Tsunami_en15_MS2022.xlf"
"2370"	"select"	"Kies"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"hoger"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_nld-NLD_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Bij de gloeilamp"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_nld-NLD_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kunnen wetenschappelijke experimenten deze vraag beantwoorden?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_nld-NLD_SCI_S638-OilSpills_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lees de inleiding en klik daarna op de pijl VOLGENDE.&lt;/i&gt;"	"question0_1_itemDirections00_5193d3562518e5.63977402_0"	"PISA_nld-NLD_SCI_S615-Tsunami_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"Met deze simulatie kun je zien hoe verschillende soorten lampen met verschillende vermogens werken. De lampentester geeft de hoeveelheid lichtopbrengst (gemeten in lumen) en het lichtrendement van de lamp  (gemeten in lumen per watt) aan."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_nld-NLD_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2343"	"select"	"Kies"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Bij de spaarlamp"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_nld-NLD_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2361"	"Explain your answer."	"Licht je antwoord toe."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Matig"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2570"	"How to Run the Simulation"	"Hoe je de simulatie moet uitvoeren"	"menu_1_menuHeading_51940c101d2b17.57186609_0"	"PISA_nld-NLD_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Voor het uitvoeren van deze simulatie kun je de volgende besturingselementen gebruiken:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_nld-NLD_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Matig"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_nld-NLD_SCI_S615-Tsunami_en15_MS2022.xlf"
"1085"	"S603 Elephants and Acacia Trees"	"S603 Olifanten en acacia's V01"	"S603_stimulus0_unknownID_515e3a7211c414.47979555_0"	"PISA_nld-NLD_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
