"Segment"	"en-ZZ"	"en-AE"	"ID"	"File"
"5226"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"R567_question02_q02itemTitle_56fc78790d26c9.15142193_0_0"	"PISA_eng-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5240"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"R567_question03_q03itemTitle_56fc78790e5d50.68233605_0_0"	"PISA_eng-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5247"	"&lt;b&gt;Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Smokejumpers&lt;/b&gt;&lt;br /&gt;"	"R567_question04_q04itemTitle_56fc78790f83e6.53078349_0_0"	"PISA_eng-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; For purchases between Dhs 600 and Dhs 1499.99, Work Right will reimburse you Dhs &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; For purchases between Dhs 1500 and Dhs 2999.99, Work Right will reimburse you Dhs 500.&lt;br /&gt; &gt; For purchases of Dhs 3000 or more, Work Right will reimburse you Dhs 1000.&lt;br /&gt;"	"R466_stimulus_line5_50d37b7694f8c7.83141919_0"	"PISA_eng-ARE_REA_R466-WorkRight_en15_MS2022.xlf"
"2378"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"Graphic Novels/Comics&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_eng-ARE_REA_R547-BookSurvey_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Click on the NEXT arrow to read the web page."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_eng-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"According to the brochure, is the statement true or false?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_eng-ARE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Click on a choice and then type an explanation to answer the question."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_eng-ARE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Type your answers to the question."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_eng-ARE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;10 Years Dhs 1000 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Khalid Bin Al Walid Street&lt;br /&gt; PO Box 2323&lt;br /&gt;Dubai UAE&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50d37b7694fee1.18114666_0"	"PISA_eng-ARE_REA_R466-WorkRight_en15_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_eng-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
