"Segment"	"en-ZZ"	"gl-ES"	"ID"	"File"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_glg-ESP_REA_R553-HealthForum_en18_MS2022.xlf"
"301"	"T"	"X"	"R219_stimulus_stimulus_7_519a26f2f0f839.17324284_0"	"PISA_glg-ESP_REA_R219-Employment_en15_MS2022.xlf"
"597"	"Jul"	"xullo"	"R220_stimulus_jul_519a26f32a0c28.93401973_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"591"	"Jan"	"xaneiro"	"R220_stimulus_jan_519a26f329ed38.32524251_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Fai clic nunha opción e escribe unha explicación para responderes a pregunta."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_glg-ESP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Preme en &lt;b&gt;Si&lt;/b&gt; ou &lt;b&gt;Non&lt;/b&gt; en cada afirmación."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_glg-ESP_REA_R544-Tesla_en18_MS2022.xlf"
"601"	"Nov"	"novembro"	"R220_stimulus_nov_519a26f32a2165.13943446_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Ofitenda reembolsaralle &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; € por compras de entre 60 e 149,99 €.&lt;br /&gt; &gt; Ofitenda reembolsaralle 50 € por compras de entre 150 e 299,99 €.&lt;br /&gt; &gt; Ofitenda reembolsaralle 100 € por compras iguais ou superiores a 300 €.&lt;br /&gt;"	"R466_stimulus_line5_51065129096468.69433443_0"	"PISA_glg-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe a túa resposta á pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_glg-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_glg-ESP_REA_R544-Tesla_en18_MS2022.xlf"
"595"	"May"	"maio"	"R220_stimulus_may_519a26f32a0196.81570901_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"600"	"Oct"	"outubro"	"R220_stimulus_oct_519a26f32a1c19.60932496_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_glg-ESP_REA_R544-Tesla_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Horarios&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_glg-ESP_REA_R550-CliffPalace_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Segundo o folleto, é a afirmación verdadeira ou falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_glg-ESP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check;&lt;i&gt;Lémbrate de seleccionar &lt;b&gt;un ou máis&lt;/b&gt; recadros.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_glg-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_glg-ESP_REA_R565-SittingDisease_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Fai clic nas opcións da táboa para responderes a pregunta.&lt;/i&gt;"	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_glg-ESP_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Fai clic nas opcións da táboa para responderes a pregunta. &lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_glg-ESP_REA_R547-BookSurvey_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_glg-ESP_REA_R590-Sentences01_en18_MS2022.xlf"
"5330"	"Click on the choices in the table to answer the question."	"Fai clic nas opcións da táboa para responderes a pregunta.&lt;/i&gt;"	"R567_question09_q09itemDirections_56fc7879177010.04490145_1_0"	"PISA_glg-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"509"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Na primavera do hemisferio sur de 1912 atopáronse os corpos de Scott e dos seus compañeiros, os seus diarios de viaxe e as súas últimas cartas"	"R220_stimulus_p6_519a26f31bdf94.40714708_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"602"	"Dec"	"decembro"	"R220_stimulus_dec_519a26f32a26b3.29171684_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDICIÓNS XERAIS DA OFERTA 10 ANOS - 100 €&lt;br /&gt; 1.  Esta promoción non é válida para comerciantes por xunto ou por miúdo que vendan esta gama de produtos. 2. Esta oferta aplícase unicamente ás seguintes gamas de produtos Ofitenda: artigos de papelaría, material de impresión ou de promoción, material de informática. Queda excluída desta oferta calquera gama de produtos Ofitenda, en particular mobiliario."	"R466_stimulus_section4_5106512909b992.17578175_0"	"PISA_glg-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"4457"	"Date"	"Data"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_glg-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"596"	"Jun"	"xuño"	"R220_stimulus_jun_519a26f32a06d9.27640522_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"598"	"Aug"	"agosto"	"R220_stimulus_aug_519a26f32a1174.04743361_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"a continuación, fai clic na frecha de &quot;AVANZAR&quot;&lt;/i&gt;."	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_glg-ESP_REA_R553-HealthForum_en18_MS2022.xlf"
"594"	"Apr"	"abril"	"R220_stimulus_apr_519a26f329fc75.60424366_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"1056"	"Given Name:"	"Nome de pía:"	"R466_stimulus_line8_51065129097b89.41016825_0"	"PISA_glg-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"593"	"Mar"	"marzo"	"R220_stimulus_mar_519a26f329f755.80614319_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"592"	"Feb"	"febreiro"	"R220_stimulus_feb_519a26f329f254.12775251_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_519a26f2f10174.75797419_0"	"PISA_glg-ESP_REA_R219-Employment_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Fai clic na frecha de &quot;AVANZAR&quot; para ler o conto."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_glg-ESP_REA_R570-TheFavour_en18_MS2022.xlf"
"1673"	"Click on a choice to answer the question.&lt;/i&gt;"	"Fai clic nunha opción para responderes a pregunta."	"R543_question2_itemDirections_56fc7821351641.10631472_1_0"	"PISA_glg-ESP_REA_R543-Nobel_en18_MS2022.xlf"
"325"	"TO"	"A"	"R219_stimulus_sect4Line3span4_519a26f2f1bbb8.39580080_0"	"PISA_glg-ESP_REA_R219-Employment_en15_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_glg-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Utiliza a función de arrastrar e soltar para responderes a pregunta."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_glg-ESP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_glg-ESP_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todo o alumnado"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_glg-ESP_REA_R542-BulletinBoard_en18_MS2022.xlf"
"599"	"Sep"	"setembro"	"R220_stimulus_sept_519a26f32a16c6.17199277_0"	"PISA_glg-ESP_REA_R220-SouthPole_en15_MS2022.xlf"
