"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"1342"	"&lt;i&gt;A&lt;/i&gt; = adult dose (same units as child dose)"	"&lt;i&gt;F&lt;/i&gt; = a felnőtt adag (ugyanabban a mértékegységben, mint a gyermekadag"	"M954_stimulus2_s2_tr5td2_50c78b93ea6a60.27625580_0"	"PISA_hun-HUN_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1073"	"Runner A"	"A futó"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_hun-HUN_MAT_M939-Racing_en21_MS2022.xlf"
"1519"	"2"	"2."	"M982_stimulus_tr5td1_50c792ebaa14d8.10873249_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1526"	"3"	"3."	"M982_stimulus_tr6td1_50c792ebaa2dd3.63260110_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1554"	"7"	"7."	"M982_stimulus_tr10td1_50c792ebaa9834.69495597_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1547"	"6"	"6."	"M982_stimulus_tr9td1_50c792ebaa7be7.56228278_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1375"	"Canada"	"Hollandia"	"M955_stimulus_tr4td1_50c790bb839275.54688841_0"	"PISA_hun-HUN_MAT_M955-Migration_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt;Úgy dolgozz, hogy munkád nyomon követhető legyen!&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50c7a1fd0e52e6.55185524_0"	"PISA_hun-HUN_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1378"	"China"	"India"	"M955_stimulus_tr5td1_50c790bb839cf7.45920339_0"	"PISA_hun-HUN_MAT_M955-Migration_en15_MS2022.xlf"
"1332"	"&lt;i&gt;y&lt;/i&gt; × &lt;i&gt;A&lt;/i&gt;"	"&lt;i&gt;e&lt;/i&gt; . &lt;i&gt;F&lt;/i&gt;"	"M954_stimulus2_stimulus2_4_50c78b93ea4161.42875829_0"	"PISA_hun-HUN_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"788"	"2"	"2."	"Q1M905_question_Q1tr3td1_50c7982722c774.14582294_0"	"PISA_hun-HUN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1533"	"4"	"4."	"M982_stimulus_tr7td1_50c792ebaa4567.67948185_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1075"	"Runner C"	"C futó"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_hun-HUN_MAT_M939-Racing_en21_MS2022.xlf"
"1540"	"5"	"5."	"M982_stimulus_tr8td1_50c792ebaa6008.70575295_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1074"	"Runner B"	"B futó"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_hun-HUN_MAT_M939-Racing_en21_MS2022.xlf"
"1512"	"1"	"1."	"M982_stimulus_tr4td1_50c792ebaa00b4.24805688_0"	"PISA_hun-HUN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1076"	"Runner D"	"D futó"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_hun-HUN_MAT_M939-Racing_en21_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;A számbillentyűk segítségével gépeld be a válaszodat!&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a51eeacc11.72351164_0"	"PISA_hun-HUN_MAT_M464-Fence_en15_MS2022.xlf"
"784"	"1"	"1."	"Q1M905_question_Q1tr2td1_50c7982722b697.75725203_0"	"PISA_hun-HUN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1384"	"India"	"Kenya"	"M955_stimulus_tr7td1_50c790bb83b319.79377560_0"	"PISA_hun-HUN_MAT_M955-Migration_en15_MS2022.xlf"
"953"	"zeds"	"zedet"	"Q1M919_question_Q1sp1_50c78caab4d2f3.11280205_0"	"PISA_hun-HUN_MAT_M919-FanMerchandise_en15_MS2022.xlf"
