"Segment"	"en-ZZ"	"eu-ES"	"ID"	"File"
"861"	"330 zeds"	"330 zed"	"Q2M909_question_question2_4_50c79d147509d5.40154589_0"	"PISA_eus-ESP_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1076"	"Runner D"	"D korrikalariak"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_eus-ESP_MAT_M939-Racing_en21_MS2022.xlf"
"887"	"110 zeds"	"110 zed"	"M909_stimulus_t1tr5td2_50c79d1478f5b3.11139335_0"	"PISA_eus-ESP_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1467"	"&lt;i&gt;Refer to &quot;Employment Data&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Irakurri “Enpleguari buruzko datuak”, eskuinean. Idatzi zure erantzuna, zenbakizko teklatua erabiliz.&lt;/i&gt;"	"Q2M982_question_Q2itemDirections_50c792971ba6d6.38735983_0"	"PISA_eus-ESP_MAT_M982-EmploymentData_en15_MS2022.xlf"
"274"	"Statement"	"Enuntziatua"	"Q1M408_question_Q1tr1th1_50c7a7f79655f9.48213603_0"	"PISA_eus-ESP_MAT_M408-Lotteries_en15_MS2022.xlf"
"1073"	"Runner A"	"A korrikalariak"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_eus-ESP_MAT_M939-Racing_en21_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klikatu aukera batean, galderari erantzuteko.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50c784ed7c2a40.59891152_0"	"PISA_eus-ESP_MAT_M474-RunningTime_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Egin klik &lt;b&gt;Zuzen&lt;/b&gt; edo &lt;b&gt;Oker&lt;/b&gt; beheko enuntziatu hauetako bakoitzeko.&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c778e7c33ca6.56997869_0"	"PISA_eus-ESP_MAT_M420-Transport_en15_MS2022.xlf"
"334"	"Statement"	"Enuntziatua"	"Q1M420_question_Q1tr1th1_50c778e7c34073.57279560_0"	"PISA_eus-ESP_MAT_M420-Transport_en15_MS2022.xlf"
"1378"	"China"	"Estatu Batuak"	"M955_stimulus_tr5td1_50c7906b419ac4.28391308_0"	"PISA_eus-ESP_MAT_M955-Migration_en15_MS2022.xlf"
"1075"	"Runner C"	"C korrikalariak"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_eus-ESP_MAT_M939-Racing_en21_MS2022.xlf"
"1375"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50c7906b419067.70690808_0"	"PISA_eus-ESP_MAT_M955-Migration_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 ENPLEGUARI BURUZKO DATUAK Q4"	"Q4M982_question_unknownID_50c792971f1211.67888625_0"	"PISA_eus-ESP_MAT_M982-EmploymentData_en15_MS2022.xlf"
"616"	"Statement"	"Enuntziatua"	"Q1M603_question_Q1tr1th1_50c785fbd01ca5.03231900_0"	"PISA_eus-ESP_MAT_M603-NumberCheck_en15_MS2022.xlf"
"444"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Egin klik aukera batean galderari erantzuteko.&lt;/i&gt;"	"Q1M447_question_Q1itemDirections_50c7a2b9897d21.64841322_0"	"PISA_eus-ESP_MAT_M447-TileArrangement_en15_MS2022.xlf"
"1074"	"Runner B"	"B korrikalariak"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_eus-ESP_MAT_M939-Racing_en21_MS2022.xlf"
