"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"右のタブをクリックすると、それぞれの資料を読むことができます。"	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_jpn-JPN_REA_R544-Tesla_en18_MS2022.xlf"
"3440"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R556_question4_itemDirections_56fc783ac6fbe2.90493965_1_0"	"PISA_jpn-JPN_REA_R556-Microlending_en18_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"下の表の中から、次の問いの答えをクリックしてください。"	"R556_question10_itemDirections_56fc783adf40b1.80389977_1_0"	"PISA_jpn-JPN_REA_R556-Microlending_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"物語の文中から、問いの答えとなる一文をクリックしてください。"	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_jpn-JPN_REA_R562-OpeningNight_en18_MS2022.xlf"
"4860"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R565_question5_itemDirections_56fc785d5ef754.99956789_1_0"	"PISA_jpn-JPN_REA_R565-SittingDisease_en18_MS2022.xlf"
"2196"	"."	"へ送り、本を三冊推薦してください。"	"Page2_stimulus_pg2p2_56fc782df0cfd1.67635785_0_0"	"PISA_jpn-JPN_REA_R547-BookSurvey_en18_MS2022.xlf"
"2316"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_jpn-JPN_REA_R547-BookSurvey_en18_MS2022.xlf"
"4457"	"Date"	"日程"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_jpn-JPN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"325"	"TO"	"まで"	"R219_stimulus_sect4Line3span4_50c7b7c6e17c35.22498528_0"	"PISA_jpn-JPN_REA_R219-Employment_en15_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"検索結果をクリックして答えてください。"	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_jpn-JPN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3404"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"下の表の中から、次の問いの答えをクリックしてください。"	"R556_question2_itemDirections_56fc783ac2dd82.36710021_1_0"	"PISA_jpn-JPN_REA_R556-Microlending_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"「次へ」ボタンをクリックして、一つ目の資料を読んでください。"	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_jpn-JPN_REA_R544-Tesla_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"「次へ」ボタンをクリックして、パンフレットを読んでください。"	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_jpn-JPN_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4423"	"About Us"	"この新聞について"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_jpn-JPN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"検索結果をクリックして下の問いに答えてください。"	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_jpn-JPN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2102"	"True"	"正"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_jpn-JPN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"313"	"PHONE"	"電話番号"	"R219_stimulus_sect3Line2span3_50c7b7c6e13549.10246326_0"	"PISA_jpn-JPN_REA_R219-Employment_en15_MS2022.xlf"
"304"	"S"	"日"	"R219_stimulus_stimulus_10_50c7b7c6e0c3c5.88231867_0"	"PISA_jpn-JPN_REA_R219-Employment_en15_MS2022.xlf"
"734"	"Girls"	"女 子"	"R404_stimulus_tr4td3_50c7c87537eaa2.60612173_0"	"PISA_jpn-JPN_REA_R404-Sleep_en15_MS2022.xlf"
"489"	"Document 1 describes the different stages of the contest between two teams, led by:"	"以下の課題文は、次の二つの探検隊の競争を何段階かに分けて描いたものです。"	"R220_stimulus_abstract_50c7c0929c3a96.74514300_0"	"PISA_jpn-JPN_REA_R220-SouthPole_en15_MS2022.xlf"
"3708"	"Click on a search result to answer the question.&lt;/i&gt;"	"下の問いに答えてください。&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_jpn-JPN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4355"	"About Us"	"この新聞について"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_jpn-JPN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt;注：答えは&lt;b&gt;一つとは限りません。&lt;/b&gt;&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_jpn-JPN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1941"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R544_question_itemDirections_56fc7821795366.48145010_1_0"	"PISA_jpn-JPN_REA_R544-Tesla_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"「睡眠」を読んだら、「次へ」ボタンをクリックし、最初の問いに進んでください。"	"R404_question_introBullet3_50c7c8752ced78.07680748_0"	"PISA_jpn-JPN_REA_R404-Sleep_en15_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;下の文章を読んで、"	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_jpn-JPN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4902"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R565_question8_itemDirections_56fc785d634c08.07217589_1_0"	"PISA_jpn-JPN_REA_R565-SittingDisease_en18_MS2022.xlf"
"3483"	"Click on a choice to answer the question.&lt;/i&gt;"	"下の問いの答えを一つクリックしてください。"	"R556_question8_itemDirections_56fc783adbd281.82516807_1_0"	"PISA_jpn-JPN_REA_R556-Microlending_en18_MS2022.xlf"
"4558"	"About Us"	"この新聞について"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_jpn-JPN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"下の表の中から、次の問いの答えをクリックしてください。"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_jpn-JPN_REA_R544-Tesla_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"それぞれの文について、「 &lt;b&gt;はい&lt;/b&gt;」または「 &lt;b&gt;いいえ&lt;/b&gt;」 のどちらかをクリックしてください。"	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_jpn-JPN_REA_R552-FestiRock_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"下の問いの答えを入力してください。"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_jpn-JPN_REA_R556-Microlending_en18_MS2022.xlf"
"733"	"Boys"	"男 子"	"R404_stimulus_tr4td2_50c7c87537e528.03895261_0"	"PISA_jpn-JPN_REA_R404-Sleep_en15_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"検索結果をクリックして答えてください。"	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_jpn-JPN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 6,000円以上15,000円未満のお買い上げの場合、&lt;span id=&quot;q3key&quot;&gt;2,000&lt;/span&gt;円をご返金。.&lt;br /&gt; &gt; 15,000円以上30,000円未満のお買い上げの場合、5,000円をご返金。&lt;br /&gt; &gt; 30,000円以上お買い上げの場合、10,000円をご返金。&lt;br /&gt;"	"R466_stimulus_line5_50c7c98cd58b43.79911038_0"	"PISA_jpn-JPN_REA_R466-WorkRight_en15_MS2022.xlf"
"582"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;南 極 点 - 資料 2&lt;/b&gt;"	"R220_stimulus_title_50c7c092a7d189.46961044_0"	"PISA_jpn-JPN_REA_R220-SouthPole_en15_MS2022.xlf"
"5312"	"True"	"正"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_jpn-JPN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"その声を聴くことは、光栄な体験でした。」という言葉を引用しています。"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_jpn-JPN_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5543"	"False"	"誤"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_jpn-JPN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1062"	"County/ State:"	"市区町村番地:"	"R466_stimulus_s2line11_50c7c98cd5e8c7.35487649_0"	"PISA_jpn-JPN_REA_R466-WorkRight_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"それぞれの文について、「&lt;b&gt;正&lt;/b&gt;」または「&lt;b&gt;誤&lt;/b&gt;」のどちらかをクリックしてください。"	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_jpn-JPN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
