"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"1354"	"Caterpillars hatch and eat leaves"	"Fjärilslarverna kläcks och äter löv"	"S607_stimulus1_sl11_517407135d0c78.97389268_0"	"PISA_swe-SWE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2245"	"Medium"	"Medel"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1232"	"S605 Geothermal Energy"	"S605 Geotermisk energi"	"S605_stimulus3_unknownID_515e3a7222f3d5.31439290_0"	"PISA_swe-SWE_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2375"	"increase"	"ökar"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Skriv ditt svar på frågan. &lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_swe-SWE_SCI_S638-OilSpills_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterier"	"S478_question1_question1_3_50ed1ce1d16dc6.08788671_0"	"PISA_swe-SWE_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1619"	"Medium"	"Medel"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_swe-SWE_SCI_S615-Tsunami_en15_MS2022.xlf"
"2372"	"decrease"	"minskar"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1249"	"S605 Geothermal Energy"	"S605 Geotermisk energi"	"S605_stimulus4_unknownID_515e3a7225e821.28287897_0"	"PISA_swe-SWE_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2623"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then select data in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Samla in data genom att köra simuleringen baserad på informationen nedan. Svara på frågan genom att markera ett av alternativen och välj sedan data i tabellen.&lt;/i&gt;"	"question5_1_itemDirections05_51940c10264da7.01923279_0"	"PISA_swe-SWE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_swe-SWE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2371"	"increase"	"ökar"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Medel"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_swe-SWE_SCI_S615-Tsunami_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_swe-SWE_SCI_S634-Vaccination_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5c5b0dbb31.86626501_0"	"PISA_swe-SWE_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2452"	"Medium"	"Medel"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Medel"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S638 Oljeutsläpp"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_swe-SWE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Svara på frågan genom att markera alternativ i tabellen nedan.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_swe-SWE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Ta bort data för att köra fler försök."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_swe-SWE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klicka på pilen NÄSTA att fortsätta."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_swe-SWE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Utnyttja vetenskapen för att förutsäga katastrofer."	"S514_question3_tr2td1_50ed2941c2a282.14427299_0"	"PISA_swe-SWE_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"737"	"No"	"NEJ"	"S498_question3_question3_2_50ec5c5b0dc099.45424122_0"	"PISA_swe-SWE_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1344"	"Caterpillars hatch and eat leaves"	"Fjärilslarverna kläcks och äter löv"	"S607_stimulus1_sl01_517407135cced4.30298235_0"	"PISA_swe-SWE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2376"	"decrease"	"minskar"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Kom ihåg att markera &lt;b&gt;en eller flera&lt;/b&gt; rutor."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_swe-SWE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
