"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"2401"	"True Genius: Marie Curie"	"&lt;div align=&quot;right&quot;&gt;عبقريّة حقيقيّة: ماري كوري&lt;/div&gt;"	"R547_question10_question10_14_56fc782e151093.23226298_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2596"	"No"	"&lt;div align=&quot;right&quot;&gt;لا&lt;/div&gt;"	"R549_question08_q08tr1th3_56fc786ad570d8.93155898_0"	"PISA_ara-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"186"	"£15"	"45"	"R102_stimulus_tr18td3_50c7ae68997b35.50763171_0"	"PISA_ara-ISR_REA_R102-Shirts_en15_MS2022.xlf"
"6010"	"&lt;b&gt;The Favour&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;صُنع المعروف&lt;/b&gt;&lt;br /&gt;"	"R570_question05_q05itemTitle_56fc78797d6da2.44992156_0_0"	"PISA_ara-ISR_REA_R570-TheFavour_en18_MS2022.xlf"
"5412"	"No"	"&lt;div align=&quot;right&quot;&gt;لا&lt;/div&gt;"	"R567_question11_q11tr1th3_56fc78792000e1.50715466_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2386"	"Climate Change and the Future"	"&lt;div align=&quot;right&quot;&gt;التغيُّر المناخيّ والمُستقبَل&lt;/div&gt;"	"R547_question10_question10_4_56fc782e14d749.41779366_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2800"	"Summer"	"الصيف"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5818"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q5R569_question_q05itemTitle_56fc7879533f83.02711490_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"اضغطوا على سهم &quot;التالي&quot; لقراءة المَرْجع الثاني."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"4355"	"About Us"	"مَن نحنُ"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4558"	"About Us"	"مَن نحنُ"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استخدموا الجرّ واللصق.&lt;/i&gt;"	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"304"	"S"	"السبت"	"R219_stimulus_stimulus_10_50c7b7390e0371.94195348_0"	"PISA_ara-ISR_REA_R219-Employment_en15_MS2022.xlf"
"2395"	"Conquest: Mars"	"&lt;div align=&quot;right&quot;&gt;الاستيلاء على: المرّيخ&lt;/div&gt;"	"R547_question10_question10_10_56fc782e14f9d4.78252282_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1537"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q08R542_question_Conv2p7_56fc78211045c7.99222784_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1528"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q08R542_question_Conv2p3_56fc7821103833.66161486_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1737"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بِكِلا المَرْجعَيْن الموجوديْن على يسار الشاشة مِن خلال الضغط على كلّ واحد مِن التبويبَيْن."	"R543_question7_itemDirections_56fc78213d9e90.08237523_0_0"	"PISA_ara-ISR_REA_R543-Nobel_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"للإجابة عن السؤال، اضغطوا على إحدى نتائج البحث.&lt;/i&gt;"	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_ara-ISR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"للإجابة عن السؤال، اضغطوا على أحد الخيارات ثمّ اكتبوا تفسيرًا.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"2310"	"Science Fiction"	"كتب الخيال العلميّ"	"R547_question5_source5_56fc782e0b83c2.54412649_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"للإجابة عن السؤال، اضغطوا على الخيارات في الجدول.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بكلا المَرْجعَيْن الموجودَيْن على يسار الشاشة من خلال الضغط على كلّ واحد مِن التبويبَيْن."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"1368"	"Refer to the flyer and the webpage on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالنّشرة الإعلانيّة وبموقع الإنترنت الموجودَيْن على يسار الشاشة من خلال الضغط على كلّ واحد من التبويبَيْن."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_0_0"	"PISA_ara-ISR_REA_R541-Plastic_en18_MS2022.xlf"
"2396"	"Science Fiction"	"كتب الخيال العلميّ"	"R547_question10_q10t1r5c2_56fc782e14fcc3.12394716_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2224"	"&lt;b&gt;To:&lt;/b&gt; All Students"	"&lt;b&gt; إلى: &lt;/b&gt; جميع التلاميذ"	"Page3_stimulus_pg3Title1_56fc782df2a918.83491820_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"أراد أمندسن احتلال القطب الجنوبي. في 14 كانون الثاني سنة 1911، نزل من سفينته في أنتركتيكا في خليج الحيتان. استعدّ أمندس لقضاء الشتاء مع ثمانية مرافقين و 116 كلبًا في فرامهايم، وهي قاعدة مبنية على حاجز روس. في 20 تشرين الأوّل سنة 1911، انطلق أمندسن مع أربعة من رجاله لاحتلال القطب الجنوبي على متن زلاجات يجرّ كلاً منها 12 كلبًا. في 17 تشرين الثاني حوالي 85 درجة جنوباً، وصلوا إلى أسفل سلسلة جبال ترانس أنتركتيكا، وكان عليهم إيجاد طريق لاجتيازها. بعد ذلك بدأوا تسلّقًا مخيفًا على جبل جليدي (أكسل هايبرغ) المليء بالتصدّعات والشقوق."	"R220_stimulus_p2_50c7c00f1c8cd0.27079782_0"	"PISA_ara-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"اضغطوا على سهم &quot;التالي&quot; لقراءة صفحة الإنترنت."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5411"	"Yes"	"&lt;div align=&quot;right&quot;&gt;نعم&lt;/div&gt;"	"R567_question11_q11tr1th2_56fc78791ffe62.73872217_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2858"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;كليف بالاس&lt;/b&gt;&lt;br /&gt;"	"R550_question06_q06itemTitle_56fc785ce7b166.46111037_0_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"للإجابة عن السؤال، اضغطوا على أحد الخيارات ثمّ اكتبوا تفسيرًا.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"3842"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات. &lt;/i&gt;"	"R559_question05_q05itemDirections_56fc783b2928b3.13861690_1_0"	"PISA_ara-ISR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;اقرؤوا المعلومات التالية،"	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_ara-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1445"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q01R542_question_Convp7_56fc782106bb52.01850166_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"للإجابة عن السؤال، اضغطوا على إحدى نتائج البحث.&lt;/i&gt;"	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2894"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;كليف بالاس&lt;/b&gt;&lt;br /&gt;"	"R550_question09_q09itemTitle_56fc785ced8fa6.72873403_0_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"اضغطوا على سهم &quot;التالي&quot; لقراءة صفحة الإنترنت."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5217"	"&amp;check; &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; تذكّروا أنْ تختاروا خانة&lt;b&gt; واحدة أو أكثر.&lt;/b&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3814"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات. &lt;/i&gt;"	"R559_question03_q03itemDirections_56fc783b26ca61.80059891_1_0"	"PISA_ara-ISR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1563"	"Friday"	"الخميس"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"321"	"PHONE"	"الهاتف"	"R219_stimulus_sect4Line2span3_50c7b7390ea803.73870228_0"	"PISA_ara-ISR_REA_R219-Employment_en15_MS2022.xlf"
"2377"	"Mystery/Thriller&lt;br/&gt;36%"	"كتب الغموض/الرعب&lt;br/&gt;36%"	"R547_question10_mysteryLbl_56fc782e14b1f7.39981743_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1560"	"Tuesday"	"الإثنين"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2411"	"Things to Do Before You’re 20"	"&lt;div align=&quot;right&quot;&gt;أشياء عليك القيام بها قبل سنّ 20&lt;/div&gt;"	"R547_question10_question10_20_56fc782e1540a1.47459531_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"بحسب النشرة الإعلانيّة، هل الجملة صحيحة أم خاطئة؟"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_ara-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1561"	"Wednesday"	"الثلاثاء"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1417"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"R542_question00_convp5_56fc782105a552.92466975_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3976"	"Yes"	"&lt;div align=&quot;right&quot;&gt;نعم&lt;/div&gt;"	"R560_question05_q05tr1th2_56fc784a7de4e8.36289296_0"	"PISA_ara-ISR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2802"	"Winter"	"الشتاء"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكلّ جملة."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4447"	"About Us"	"مَن نحنُ"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4457"	"Date"	"التاريخ"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1440"	"Don’t remind me!"	"لا تذكّرني!"	"Q01R542_question_Convp5_56fc782106b514.17249909_1_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1438"	"You will still see them eventually."	"في نهاية الأمر لا بدّ أنْ تراها."	"Q01R542_question_Convp4_56fc782106b217.84906763_2_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1848"	"Click on the NEXT arrow to read the first source."	"اضغطوا على سهم &quot;التالي&quot; لقراءة المَرْجع الأوّل."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_ara-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"للإجابة عن السؤال، اضغطوا على جملة في القصّة."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_ara-ISR_REA_R562-OpeningNight_en18_MS2022.xlf"
"1661"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بِكِلا المَرْجعَيْن الموجوديْن على يسار الشاشة مِن خلال الضغط على كلّ واحد مِن التبويبَيْن."	"R543_question11_itemDirections_56fc782133db85.09049416_0_0"	"PISA_ara-ISR_REA_R543-Nobel_en18_MS2022.xlf"
"1437"	"Well, that won’t help you."	"حسنًا، ذلك لن  يفيدك."	"Q01R542_question_Convp4_56fc782106b217.84906763_1_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2426"	"Beyond the Stars"	"&lt;div align=&quot;right&quot;&gt;ما وراء النجوم&lt;/div&gt;"	"R547_question10_question10_30_56fc782e158be6.93004144_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2887"	"&lt;b&gt;Ciff Palace&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;كليف بالاس&lt;/b&gt;&lt;br /&gt;"	"R550_question08_q08itemTitle_56fc785ceb8fd9.58889268_0_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5840"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q7R569_question_xxitemTitle_56fc7879564ca9.15415688_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1476"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q02R542_question_Convp7_56fc782107fe14.69518872_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5270"	"False"	"خاطئة"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2421"	"Science Fiction"	"كتب الخيال العلميّ"	"R547_question10_q10t2r5c2_56fc782e156f82.74395556_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; بالنّسبة لكلّ عمل."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_ara-ISR_REA_R570-TheFavour_en18_MS2022.xlf"
