"Segment"	"en-ZZ"	"es-ES"	"ID"	"File"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Recuperado/Vacunado:&lt;/b&gt; Los individuos en este estado contrajeron la enfermedad y se recuperaron, o fueron vacunados para prevenirla. En la simulación, estos individuos no pueden enfermar."	"question000_1_t1tr3td2_5179d18b0d87f4.53527504_0"	"PISA_esp-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"2370"	"select"	"Selecciona"	"question5_1_o5_0_517c866cce82f5.31457343_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Alto"	"js_translation_high_517c866cc0c011.23722423_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_5146f1d3220c05.59682257_0"	"PISA_esp-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2374"	"select"	"Selecciona"	"question5_1_o5b_0_517c866cce8ce4.25365685_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"aumentará"	"question3_1_o3b_1_517c866cca8149.85234485_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Moderada"	"sim_1_simSlopeMed_517c866c229f33.08839423_0"	"PISA_esp-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación, podrás explorar cómo afectan los volúmenes de pesca de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía tras un periodo de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Bajo"	"stimulus2_1_stimulus2_36_517c866cd9c7a6.07608979_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Para eliminar cualquier fila de datos, haz clic en el botón de borrar que hay junto a la fila."	"menu_1_menuP4_5179d18c75ad75.67833698_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2343"	"select"	"Selecciona"	"question3_1_o3b_0_517c866cca7c35.96356868_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"En la simulación, un individuo de la población estará en todo momento en uno de los tres estados siguientes."	"question000_1_q000P2_5179d18b0d6117.98810814_0"	"PISA_esp-ESP_SCI_S634-Vaccination_en15_MS2022.xlf"
"1523"	"Medium"	"Moderada"	"js_translation_slopeMedium_517c866c11dfe4.07185303_0"	"PISA_esp-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2345"	"decrease"	"disminuirá"	"question3_1_o3b_2_517c866cca8617.75823500_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"737"	"No"	"NO"	"S498_question3_question3_2_50ec5d44b91392.47205759_0"	"PISA_esp-ESP_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la información siguiente. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c7da0d7.37830503_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1829"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question4_itemTitle_4_51484258014321.57686303_0"	"PISA_esp-ESP_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2452"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_517c866cd9cda5.35528622_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1541"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt; Lee la introducción. A continuación haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question0_1_itemDirections00_517c866c1493e8.49871839_0"	"PISA_esp-ESP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2340"	"increase"	"aumentará"	"question3_1_o3_1_517c866cca6dd3.87035140_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Las bacterias."	"S478_question1_question1_3_50ed1dacd25f77.43577235_0"	"PISA_esp-ESP_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2450"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_517c866cd9c221.62218651_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para ver cómo funcionan todos los controles en esta simulación, sigue estos pasos:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-ESP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question4_itemTitleqS4_51543fc913f809.27524802_0"	"PISA_esp-ESP_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"175"	"select"	"selecciona"	"S413_question1_s4opt0_50ec427bb43518.70703109_0"	"PISA_esp-ESP_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1816"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El sonido en los hábitats marinos &lt;/b&gt;&lt;br /&gt; Pregunta"	"S626_question3_itemTitle_3_51484257f14358.64460797_0"	"PISA_esp-ESP_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2453"	"High"	"Alto"	"stimulus2_1_stimulus2_38_517c866cd9d2d9.65194173_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_517c866cd9f405.42115461_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; El efecto 'isla de calor' en las ciudades&lt;/b&gt;&lt;br /&gt; Pregunta"	"S602_question4_qitemTitle4_5146f1d321d3e6.33512336_0"	"PISA_esp-ESP_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"736"	"Yes"	"SÍ"	"S498_question3_question3_1_50ec5d44b90fb4.21312622_0"	"PISA_esp-ESP_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-ESP_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una o varias casillas para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c3c3109.76596197_0"	"PISA_esp-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Recuerda seleccionar &lt;b&gt;una o varias&lt;/b&gt; casillas.&lt;/i&gt;"	"S625_question3_Reminder_5138b1f5ed92c9.68850673_0"	"PISA_esp-ESP_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2372"	"decrease"	"disminuirá"	"question5_1_o5_2_517c866cce87d1.86453744_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2640"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Comparación de bombillas&lt;/b&gt;&lt;br /&gt; Pregunta"	"question6_1_itemTitle06_5179d18c4009f1.06042925_0"	"PISA_esp-ESP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"¿Puede responderse a esta pregunta por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-ESP_SCI_S638-OilSpills_en15_MS2022.xlf"
"2244"	"Low"	"Bajo"	"js_translation_low_517c866cc0b622.59988102_0"	"PISA_esp-ESP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
