"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"3488"	"Click on one or more boxes to answer the question."	"Klikoni dy kuti për t'ju përgjigjur pyetjes."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_sqi-MKD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_sqi-MKD_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Përdorni tërhiq dhe lësho për t'ju përgjigjur pyetjeve."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_sqi-MKD_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_sqi-MKD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_sqi-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_sqi-MKD_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_sqi-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4768"	"True"	"E vërtetë"	"q2MA158_question_q2tr1th2_5c9d21657cb822.46278436_0"	"PISA_sqi-MKD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Përdorni tërhiq dhe lësho për t'ju përgjigjur pyetjeve."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_sqi-MKD_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_sqi-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
