"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"2818"	"Answer:"	"Përgjigja"	"MA131_question3_question03_3_5c9d214ba45152.27501247_0"	"PISA_sqi-KSV_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Me përdorimin e tasteve të numrave, shënoni përgjijgjen tuaj në pyetje."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_sqi-KSV_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_sqi-KSV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Klikoni opsionin në tabelë për t'u përgjigjur në pyetje."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_sqi-KSV_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_sqi-KSV_MAT_MA156-Points_en21_MS2022.xlf"
"5278"	"Mean"	"Mesatarja"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_sqi-KSV_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Kliko një opsion dhe pastaj shkruaje një sqarim për t'u përgjigjur në pyetje."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_sqi-KSV_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3194"	"Select"	"Zgjedh"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3206"	"Select"	"Zgjedh"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_sqi-KSV_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1446"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_sqi-KSV_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1902"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA128_question2_q2itemDirections_5c9d214b330089.68340793_1_0"	"PISA_sqi-KSV_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_sqi-KSV_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"3612"	"Answer:"	"Përgjigja:"	"MA140_question1_asp1_5c9d21649b6482.63836652_0"	"PISA_sqi-KSV_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_sqi-KSV_MAT_MA145-Shadows_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_sqi-KSV_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_sqi-KSV_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Klikoni një alternativë për t'ju përgjigjur pyetjes."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_sqi-KSV_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
