"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"1939"	"Sound in Marine Habitats"	"Звук в естествена морска среда"	"S626_stimulus3_attr_alt_attr_stimulus3_3_515e3a72776ca3.57902829_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"837"	"&lt;b&gt;Extinction of the Dinosaurs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ИЗЧЕЗВАНЕТО НА ДИНОЗАВРИТЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"S527_question2_itemTitle2_50ec1f8fb6eb73.61792090_0"	"PISA_bul-BGR_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"26"	"&lt;b&gt;Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;МЛЯКО&lt;/b&gt;&lt;br /&gt; Въпрос"	"S326_question3_itemTitle3_50ec4a8ebdf0b9.07233335_0"	"PISA_bul-BGR_SCI_S326-Milk_en15_MS2022.xlf"
"645"	"Bacteria"	"Бактериите"	"S478_question1_question1_3_50ed1df3298621.73076293_0"	"PISA_bul-BGR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1653"	"Medium"	"Среден"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_bul-BGR_SCI_S615-Tsunami_en15_MS2022.xlf"
"2667"	"Halogen light bulbs"	"Халогенна лампа"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_bul-BGR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2977"	"Earth"	"Земя"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_bul-BGR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"935"	"higher"	"по-високи"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_bul-BGR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1852"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"Използвайте &quot;Китовете и шумът от корабите&quot; вдясно.Кликнете върху отговора, който смятате за правилен."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_bul-BGR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2486"	"Medium"	"Средно"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_bul-BGR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"308"	"0"	"А"	"S415_question2_attr_value_attr_S415Q02RADIO_0_50ec3e07be27d4.98931504_0"	"PISA_bul-BGR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"311"	"3"	"Г"	"S415_question2_attr_value_attr_S415Q02RADIO_3_50ec3e07be2b93.59851970_0"	"PISA_bul-BGR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"1340"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;&lt;/b&gt;&lt;br /&gt;"	"S603_question5_itemTitle5_5174071353f663.56498634_0"	"PISA_bul-BGR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"310"	"2"	"В"	"S415_question2_attr_value_attr_S415Q02RADIO_2_50ec3e07be2aa6.27044616_0"	"PISA_bul-BGR_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2666"	"LED light bulbs"	"Светодиодна лампа"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_bul-BGR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2664"	"Incandescent light bulbs"	"Лампа с нажежаема жичка"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_bul-BGR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Използване на науката за прогнозиране на природните бедствия"	"S514_question3_tr2td1_50ed2a58b3f443.81044337_0"	"PISA_bul-BGR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
