"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Істинне&lt;/b&gt; або &lt;b&gt;Хибне&lt;/b&gt; для кожного твердження в таблиці."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ukr-UKR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_ukr-UKR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_ukr-UKR_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4131"	"30%"	"30 %"	"MA147q4_question_question04_6_5c9d21650b70f6.04913867_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Пам’ятайте, що треба вибрати &lt;b&gt;одну або більше&lt;/b&gt; відповідей на запитання."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4580"	"D"	"Р"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5278"	"Mean"	"Середнє арифметичне"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_ukr-UKR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_ukr-UKR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Уведіть Ваше пояснення у віконце."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_ukr-UKR_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_ukr-UKR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Виберіть відповідь на запитання з випадного меню."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
