"Segment"	"en-ZZ"	"az-QZ"	"ID"	"File"
"1446"	"Click on a choice to answer the question."	"Suala cavab vermək üçün seçiminizi klikləyin."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_aze-QAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5384"	"Colombia"	"Kolumbiya"	"q2MA161_question_question02_41_5c9d2137d34f77.16696908_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5162"	"Portugal"	"Ölkə K"	"q3MA160_question_question03_16_5c9d2137a56200.56607674_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5278"	"Mean"	"Ədədi orta"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_aze-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"2454"	"mg"	"mq-a qədər"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_aze-QAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Fikirlərin hər biri üçün &lt;b&gt;Doğru&lt;/b&gt; və ya &lt;b&gt;Yanlış&lt;/b&gt;-ı klikləyin."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_aze-QAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Hər bir fikir üçün &lt;b&gt;Bəli&lt;/b&gt; və ya &lt;b&gt;Xeyr&lt;/b&gt; cavabını klikləyin."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_aze-QAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5156"	"Greece"	"Ölkə E"	"q3MA160_question_question03_10_5c9d2137a55b03.72130510_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Rəqəm düymələrindən istifadə edərək suala cavabınızı yazın."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_aze-QAZ_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"5084"	"India"	"Ölkə F"	"q1MA161_question_question01_14_5c9d2137a0ea44.92736787_0"	"PISA_aze-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
