"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"2345"	"decrease"	"zmanjšala"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornadi Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_slv-SVN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1619"	"Medium"	"Srednje strm"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_slv-SVN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2919"	"No"	"Ne."	"S648_question4_question4_2_517407af761f92.59952877_0"	"PISA_slv-SVN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2425"	"Zooplankton"	"zooplankton"	"stimulus2_1_stimulus2_9_51940bae4f4596.30670753_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"povečala"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2426"	"Herring"	"atlantski sledi"	"stimulus2_1_stimulus2_13_51940bae4f4b49.35250034_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Venera"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_slv-SVN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Na vprašanje odgovori tako, da klikneš v tabelo.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 Avtomobilske pnevmatike Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_slv-SVN_SCI_S627-CarTyres_en15_MS2022.xlf"
"2420"	"Zooplankton"	"zooplankton"	"S635_stimulus1_cap2_51940bae4c11b1.15202232_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2343"	"select"	"Izberi"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2374"	"select"	"Izberi"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Velik"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Majhen"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"634"	"Greytown"	"Gretovci"	"S466_stimulus2_label2_50ed238c8b7549.82047575_0"	"PISA_slv-SVN_SCI_S466-ForestFires_en15_MS2022.xlf"
"2371"	"increase"	"poveča"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2850"	"No"	"Ne"	"question6_1_question6_8_51940c103ef681.03421965_0"	"PISA_slv-SVN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2422"	"Cod"	"trske"	"S635_stimulus1_cap4_51940bae4c1bb8.21659408_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2421"	"Herring"	"atlantski sledi"	"S635_stimulus1_cap3_51940bae4c1698.60208534_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Srednji"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2341"	"decrease"	"zmanjšala"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2063"	"No"	"Ne"	"S629_question4_Q4_tr1th3_515e3a728b0012.40079343_0"	"PISA_slv-SVN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2918"	"Yes"	"Da."	"S648_question4_question4_1_517407af7617a8.52939212_0"	"PISA_slv-SVN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2424"	"Phytoplankton"	"fitoplankton"	"stimulus2_1_stimulus2_5_51940bae4f3f40.02716657_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Srednje strm"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_slv-SVN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1971"	"No"	"Ne"	"S627_question3_Q3_tr1th3_51740713b4c9b2.19457637_0"	"PISA_slv-SVN_SCI_S627-CarTyres_en15_MS2022.xlf"
"736"	"Yes"	"DA"	"S498_question3_question3_1_50ec5c9bdd7a68.04787416_0"	"PISA_slv-SVN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2455"	"None"	"Nič"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2527"	"No"	"Ne"	"S638_question4_Q4_tr1th3_51804fe1884823.16228336_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"645"	"Bacteria"	"Na bakterije."	"S478_question1_question1_3_50ed1d1ca846b6.53999507_0"	"PISA_slv-SVN_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2014"	"No"	"Ne"	"S629_question2_Q1_tr1th3_515e3a72815a71.79521214_0"	"PISA_slv-SVN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"636"	"Earltown"	"Ertovci"	"S466_stimulus2_label4_50ed238c8b7b04.76168455_0"	"PISA_slv-SVN_SCI_S466-ForestFires_en15_MS2022.xlf"
"2244"	"Low"	"Majhen"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"637"	"Dairytown"	"Dartovci"	"S466_stimulus2_label5_50ed238c8b7d58.41093629_0"	"PISA_slv-SVN_SCI_S466-ForestFires_en15_MS2022.xlf"
"2427"	"Cod"	"trske"	"stimulus2_1_stimulus2_17_51940bae4f50f0.47687150_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"LED žarnice"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_slv-SVN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"261"	"Density"	"gostota"	"S413_question3_q3t3tr3td1_50ec41d71d8ea7.70983197_0"	"PISA_slv-SVN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1833"	"Yes"	"Da"	"S626_question4_question4_2_515e3a726d0711.54933273_0"	"PISA_slv-SVN_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Pomanjkljivost"	"S638_question2_header2_51804fe1804f46.37227767_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"S to simulacijo lahko raziščeš, kako obseg ribolova na trske in atlantske slede vpliva na biomaso posameznih vrst organizmov v zalivu po petletnem obdobju."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Srednji"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2358"	"Yes"	"Da"	"question4_1_question4_3_51940bae428733.86561816_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"272"	"Density"	"gostota"	"S413_question3_q3t4tr3td1_50ec41d71dc878.90453234_0"	"PISA_slv-SVN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"936"	"lower"	"nižje"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_slv-SVN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"935"	"higher"	"višje"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_slv-SVN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Razloži, zakaj.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_slv-SVN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"1681"	"May"	"Maj"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_slv-SVN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2370"	"select"	"Izberi"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"273"	"Low"	"majhna"	"S413_question3_q3t4tr3td2_50ec41d71dcbe3.82071172_0"	"PISA_slv-SVN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"pomoč žrtvam naravnih nesreč"	"S514_question3_tr4td1_50ed297d11fe01.94887660_0"	"PISA_slv-SVN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1998"	"car tyres"	"avtomobilske pnevmatike"	"S627_stimulus3_title3_51740713bc8cd7.64406270_0"	"PISA_slv-SVN_SCI_S627-CarTyres_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Fluorescentne sijalke"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_slv-SVN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"635"	"Belltown"	"Bortovci"	"S466_stimulus2_label3_50ed238c8b7768.47863961_0"	"PISA_slv-SVN_SCI_S466-ForestFires_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Navadne žarnice"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_slv-SVN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1834"	"No"	"Ne"	"S626_question4_question4_3_515e3a726d0f76.55989842_0"	"PISA_slv-SVN_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"262"	"High"	"velika"	"S413_question3_q3t3tr3td2_50ec41d71d91a8.55907800_0"	"PISA_slv-SVN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2526"	"Yes"	"Da"	"S638_question4_Q4_tr1th2_51804fe1884406.45077006_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2453"	"High"	"Velik"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"uporaba znanosti za napovedovanje naravnih nesreč"	"S514_question3_tr2td1_50ed297d11f084.70897708_0"	"PISA_slv-SVN_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2246"	"High"	"Velik"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"737"	"No"	"NE"	"S498_question3_question3_2_50ec5c9bdd80f5.35018655_0"	"PISA_slv-SVN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2062"	"Yes"	"Da"	"S629_question4_Q4_tr1th2_515e3a728afba3.43461639_0"	"PISA_slv-SVN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2359"	"No"	"Ne"	"question4_1_question4_4_51940bae428b27.01236807_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2945"	"Uranus"	"Uran"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_slv-SVN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2372"	"decrease"	"zmanjša"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2013"	"Yes"	"Da"	"S629_question2_Q1_tr1th2_515e3a72815561.18237803_0"	"PISA_slv-SVN_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2943"	"Earth"	"Zemlja"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_slv-SVN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2849"	"Yes"	"Da"	"question6_1_question6_7_51940c103ef290.31886289_0"	"PISA_slv-SVN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1723"	"tornadoes"	"Tornadi"	"S620_stimulus1_title1_51740713aa29d8.39201942_0"	"PISA_slv-SVN_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2339"	"select"	"Izberi"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Srednji"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"povečala"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"poveča"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S638 Razlitje nafte"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Ali lahko na to vprašanje odgovorimo na podlagi  znanstvenih poskusov?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_slv-SVN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2450"	"None"	"Nič"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Nič"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2419"	"Phytoplankton"	"fitoplankton"	"S635_stimulus1_cap1_51940bae4c0ce1.80478055_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Majhen"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"zmanjša"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_slv-SVN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Halogenske žarnice"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_slv-SVN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1970"	"Yes"	"Da"	"S627_question3_Q3_tr1th2_51740713b4c208.20946014_0"	"PISA_slv-SVN_SCI_S627-CarTyres_en15_MS2022.xlf"
