"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"3653"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda bagi soalan yang diberi."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_msa-MYS_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_msa-MYS_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Dengan menggunakan kekunci nombor, taipkan jawapan anda untuk soalan ini."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_msa-MYS_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda bagi soalan yang diberi."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_msa-MYS_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Palsu&lt;/b&gt; bagi setiap pernyataan dalam jadual di bawah."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_msa-MYS_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Dengan menggunakan kekunci nombor, taipkan jawapan anda untuk soalan ini."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_msa-MYS_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Ya&lt;/b&gt; atau &lt;b&gt;Tidak&lt;/b&gt; bagi setiap pernyataan."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_msa-MYS_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_msa-MYS_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4850"	"Mean"	"Min"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_msa-MYS_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jumlah &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_msa-MYS_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan kemudian taip penerangan bagi menjawab soalan."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_msa-MYS_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_msa-MYS_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Klik pada satu atau lebih petak untuk menjawab soalan."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_msa-MYS_MAT_MA114-Honey_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Dengan menggunakan kekunci nombor, taip jawapan anda bagi soalan tersebut."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_msa-MYS_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_msa-MYS_MAT_MA146-Fuel_en21_MS2022.xlf"
