"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una alternativa y luego escribe una explicación para responder la pregunta.&lt;/i&gt;"	"question5_1_itemDirections05_5179d18c7fbf06.16538288_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2438"	"1000"	"1.000"	"stimulus2_1_ylabel_1000z_517c866cd98da4.23051738_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2984"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question2_itemTitleqS2_51543fc909a0e9.69032256_0"	"PISA_esp-CHL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Para responder a esta pregunta no es necesario que utilices la simulación. Haz clic en una alternativa y luego escribe una explicación para responder la pregunta.&lt;/i&gt;"	"question6_1_itemDirections06_5179d18c825225.54248492_0"	"PISA_esp-CHL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"¿Se puede responder esta pregunta por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-CHL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. A continuación, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-CHL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Recuerda seleccionar &lt;b&gt;uno o más de un &lt;/b&gt; casillero."	"S662_question7_q7p3_517c866cd3a419.20990440_0"	"PISA_esp-CHL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1818"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"Consulta  «Las ballenas y el ruido de los barcos» a la derecha. Haz clic en una alternativa para responder la pregunta."	"S626_question3_question3_1_51484257f150f1.62705688_0"	"PISA_esp-CHL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
