"Segment"	"en-ZZ"	"nl-BE"	"ID"	"File"
"2452"	"Medium"	"Matig"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_nld-BEL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Vergeet niet &lt;b&gt;één of meerdere vakjes&lt;/b&gt; aan te klikken.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_nld-BEL_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2063"	"No"	"Nee"	"S629_question4_Q4_tr1th3_515e3a728b0012.40079343_0"	"PISA_nld-BEL_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2850"	"No"	"Nee"	"question6_1_question6_8_51940c103ef681.03421965_0"	"PISA_nld-BEL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1523"	"Medium"	"Matig"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_nld-BEL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 Olievlekken Inleiding"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_nld-BEL_SCI_S638-OilSpills_en15_MS2022.xlf"
"635"	"Belltown"	"Wijstad"	"S466_stimulus2_label3_50ed245ca29493.98542741_0"	"PISA_nld-BEL_SCI_S466-ForestFires_en15_MS2022.xlf"
"935"	"higher"	"hoger"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_nld-BEL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2111"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Besmettelijk&lt;/b&gt;: mensen in de deze toestand hebben de ziekte en kunnen anderen daarmee besmetten."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_nld-BEL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2527"	"No"	"Nee"	"S638_question4_Q4_tr1th3_51804fe1884823.16228336_0"	"PISA_nld-BEL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Voor deze vraag heb je de simulatie niet nodig. Klik op het juiste antwoord en typ daarna een uitleg.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_nld-BEL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2457"	"Medium"	"Matig"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_nld-BEL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
