"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"893"	"Statement"	"אמירה"	"R455_question_tr1th1_50c7bae1327e89.20622983_0"	"PISA_heb-ISR_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"4423"	"About Us"	"מי אנחנו"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2417"	"Start Your Own Internet Business"	"&lt;div align=&quot;right&quot;&gt; המדריך להקמת עסק אינטרנטי&lt;/div&gt;"	"R547_question10_question10_24_56fc782e1558b7.11086510_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2398"	"Robot Technology and the Future"	"&lt;div align=&quot;right&quot;&gt; רובוטיקה והעתיד&lt;/div&gt;"	"R547_question10_question10_12_56fc782e150538.49173152_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2386"	"Climate Change and the Future"	"&lt;div align=&quot;right&quot;&gt; שינויי אקלים והעתיד&lt;/div&gt;"	"R547_question10_question10_4_56fc782e14d749.41779366_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"כדי לקרוא את המקור השני, לחצו על החץ &quot;הבא&quot;."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_heb-ISR_REA_R544-Tesla_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"לפי העלון, האם ההיגד נכון או לא נכון?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_heb-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"סמנו &lt;b&gt;נכון&lt;/b&gt; או &lt;b&gt;לא נכון&lt;/b&gt; עבור כל היגד."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4798"	"Portugal"	"דנמרק"	"Page4_stimulus_stimulusTab4_9_56fc785d577231.37891010_0"	"PISA_heb-ISR_REA_R565-SittingDisease_en18_MS2022.xlf"
"2684"	"Home"	"דף הבית"	"R550_cliff_palace_cp_l1_56fc785ccaeae5.87924992_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2657"	"Home"	"דף הבית"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2770"	"Home"	"דף הבית"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"441"	"continuous&lt;br /&gt;daylight"	"אור יום&lt;br /&gt;מתמשך"	"R220_stimulus_label7_50c7c067cba009.20828083_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt; &lt;/i&gt;."	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_heb-ISR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;הקוטב הדומי - מסמך 1&lt;/b&gt;"	"R220_stimulus_title_50c7c067d08f03.59326676_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"3076"	"No"	"&lt;div align=&quot;center&quot;&gt;לא&lt;/div&gt;"	"R552_question04_tr1th3_56fd794262df01.17012828_0"	"PISA_heb-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"2414"	"The Best Video Games: A Review"	"&lt;div align=&quot;right&quot;&gt; משחקי הווידאו הטובים ביותר: סקירה&lt;/div&gt;"	"R547_question10_question10_22_56fc782e154cc3.43306007_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5412"	"No"	"&lt;div align=&quot;center&quot;&gt;לא&lt;/div&gt;"	"R567_question11_q11tr1th3_56fc78792000e1.50715466_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1563"	"Friday"	"חמישי"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5411"	"Yes"	"&lt;div align=&quot;center&quot;&gt;כן&lt;/div&gt;"	"R567_question11_q11tr1th2_56fc78791ffe62.73872217_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"כדי לענות על השאלה, גררו את התשובות אל המקומות המתאימים בטבלה."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_heb-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4558"	"About Us"	"מי אנחנו"	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4457"	"Date"	"תאריך"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2618"	"No"	"&lt;div align=&quot;center&quot;&gt;לא&lt;/div&gt;"	"R549_question09_q09tr1th3_56fc786ad75711.83888803_0"	"PISA_heb-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"230"	"&lt;b&gt;Exchange&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;חילופי תלמידים &lt;/b&gt;&lt;br /&gt;שאלה"	"R111_question_itemTitle_50c7b67117b047.08781291_0"	"PISA_heb-ISR_REA_R111-Exchange_en15_MS2022.xlf"
"2930"	"&lt;b&gt;Sent:&lt;/b&gt; 22 March 2015"	"&lt;b&gt;נשלח: &lt;/b&gt; 22 במרץ 2015"	"pg1_stimulus_pg1-li3-3_56fd7942572183.74944699_0"	"PISA_heb-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;חשוב! אל תשכחו לצרף:&lt;/b&gt;&lt;br /&gt; &amp;mdash;העתק של חשבונית הקנייה&lt;br /&gt; &amp;mdash; קוד(י) המחיר או תווית(ות) המחיר של
המוצרים המקוריים&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c963081135.93203640_0"	"PISA_heb-ISR_REA_R466-WorkRight_en15_MS2022.xlf"
"2723"	"Home"	"דף הבית"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1560"	"Tuesday"	"שני"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2448"	"Citizen Observer Project"	"פרויקט מדע אזרחי"	"R549_stimulus3_stimulus3_6_56fc786ac320b1.56875163_0"	"PISA_heb-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2801"	"Autumn"	"סתיו"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"520"	"continuous&lt;br /&gt;daylight"	"אור יום&lt;br /&gt; מתמשך"	"R220_stimulus_label7_50c7c067d56ec7.25763552_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"2411"	"Things to Do Before You’re 20"	"&lt;div align=&quot;right&quot;&gt; דברים שצריך לעשות לפני גיל 20&lt;/div&gt;"	"R547_question10_question10_20_56fc782e1540a1.47459531_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"329"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"קראו את עמוד &lt;b&gt;1&lt;/b&gt;."	"R220_question_introBullet1_50c7c067ba2b30.24740364_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"סמנו &lt;b&gt;נכון&lt;/b&gt; או &lt;b&gt;לא נכון&lt;/b&gt; עבור כל היגד."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"637"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"קראו את עמוד &lt;b&gt;1&lt;/b&gt;."	"R404_question_introBullet1_50c7c84c053355.61203113_0"	"PISA_heb-ISR_REA_R404-Sleep_en15_MS2022.xlf"
"2404"	"The Red Shadow"	"&lt;div align=&quot;right&quot;&gt; הצל האדום&lt;/div&gt;"	"R547_question10_question10_16_56fc782e152231.29042580_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2753"	"Home"	"דף הבית"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_heb-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"186"	"£15"	"45"	"R102_stimulus_tr18td3_50c7aebd5112e8.18103117_0"	"PISA_heb-ISR_REA_R102-Shirts_en15_MS2022.xlf"
"4394"	"About Us"	"מי אנחנו"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"301"	"T"	"ד"	"R219_stimulus_stimulus_7_50c7b79a05af99.37502738_0"	"PISA_heb-ISR_REA_R219-Employment_en15_MS2022.xlf"
"4355"	"About Us"	"מי אנחנו"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4447"	"About Us"	"מי אנחנו"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_heb-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"519"	"continuous&lt;br /&gt;daylight"	"אור יום&lt;br /&gt;מתמשך"	"R220_stimulus_label6_50c7c067d56b56.98111309_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"כדי לענות על השאלה, סמנו את תשובתכם והקלידו את ההסבר."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_heb-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt; .&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_heb-ISR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2395"	"Conquest: Mars"	"&lt;div align=&quot;right&quot;&gt; כיבוש מאדים&lt;/div&gt;"	"R547_question10_question10_10_56fc782e14f9d4.78252282_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"588"	"continuous&lt;br /&gt;daylight"	"אור יום&lt;br /&gt;מתמשך"	"R220_stimulus_label6_50c7c067dd1857.29980761_0"	"PISA_heb-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"2423"	"Land of Milk and Honey"	"&lt;div align=&quot;right&quot;&gt; ארץ זבת חלב ודבש&lt;/div&gt;"	"R547_question10_question10_28_56fc782e157a54.70752015_0"	"PISA_heb-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;שימו לב: אפשר לבחור תשובה &lt;b&gt;אחת או יותר&lt;/b&gt; .&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_heb-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2596"	"No"	"&lt;div align=&quot;center&quot;&gt;לא&lt;/div&gt;"	"R549_question08_q08tr1th3_56fc786ad570d8.93155898_0"	"PISA_heb-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5646"	"Click on the NEXT arrow to read the webpage."	"כדי לקרוא את דף האינטרנט, לחצו על החץ &quot;הבא&quot;."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_heb-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1561"	"Wednesday"	"שלישי"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_heb-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2617"	"Yes"	"&lt;div align=&quot;center&quot;&gt;כן&lt;/div&gt;"	"R549_question09_q09tr1th2_56fc786ad75317.04955466_0"	"PISA_heb-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
