"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"313"	"PHONE"	"TEL."	"R219_stimulus_sect3Line2span3_50c7b74cdba408.12240422_0"	"PISA_ces-CZE_REA_R219-Employment_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2) Vyplňte&lt;/b&gt; následující žádost.&lt;br /&gt; &lt;b&gt;3) Přiložte&lt;/b&gt; kopii dokladu o koupi a čárový kód nebo cenovku zakoupených výrobků.&lt;br /&gt; &lt;b&gt;4) Zašlete&lt;/b&gt; vše do 15 dnů ode dne nákupu na následující adresu:&lt;br /&gt;"	"R466_stimulus_section2_50c7c91e253405.98977316_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Při nákupu od 600 Kč do 1 499 Kč vám ProKancelář vrátí &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; Kč.&lt;br /&gt; &gt; Při nákupu od 1 500 Kč do 2 999 Kč vám ProKancelář vrátí 500 Kč.&lt;br /&gt; &gt; Při nákupu od 3 000 Kč výše vám ProKancelář vrátí 1 000 Kč.&lt;br /&gt;"	"R466_stimulus_line5_50c7c91e253185.38369905_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"1058"	"Address:"	"Ulice (místo), č. p.:"	"R466_stimulus_line9_50c7c91e2551c1.40931923_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Nabídka 10 let &amp;ndash; 1 000 Kč&lt;br /&gt; Ředitelství Sagic&lt;br /&gt;Příčná 23&lt;br /&gt; 208 01 Peckov&lt;br /&gt;&lt;b&gt;Česká republika&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50c7c91e2536a4.69518504_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"2802"	"Winter"	"Zima"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_ces-CZE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"ProKancelář"	"R466_stimulus_stimulus_1_50c7c91e21b5e8.57043791_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"je tu 10 let&lt;br /&gt; a vrátí vám až Kč"	"R466_stimulus_line1_50c7c91e251ba0.71467740_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"588"	"continuous&lt;br /&gt;daylight"	"polárn&lt;br /&gt;den"	"R220_stimulus_label6_50c7c021dea265.68094864_0"	"PISA_ces-CZE_REA_R220-SouthPole_en15_MS2022.xlf"
"5010"	"Click on the NEXT arrow to read the website."	"Klikni na šipku DALŠÍ a přečti si webovou stránku."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_ces-CZE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Klikni na šipku DALŠÍ a přečti si pohádku."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_ces-CZE_REA_R570-TheFavour_en18_MS2022.xlf"
"1043"	"100"	"1 000"	"R466_stimulus_stimulus2_2_50c7c91e251e23.10609627_0"	"PISA_ces-CZE_REA_R466-WorkRight_en15_MS2022.xlf"
"2799"	"Spring"	"Jaro"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_ces-CZE_REA_R550-CliffPalace_en18_MS2022.xlf"
