"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"1075"	"Runner C"	"Skrējējs C"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_lav-LVA_MAT_M939-Racing_en21_MS2022.xlf"
"1076"	"Runner D"	"Skrējējs D"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_lav-LVA_MAT_M939-Racing_en21_MS2022.xlf"
"1384"	"India"	"Kenija"	"M955_stimulus_tr7td1_50d35012be7af9.07911988_0"	"PISA_lav-LVA_MAT_M955-Migration_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Noklikšķini uz &lt;b&gt;Pareizi&lt;/b&gt; vai &lt;b&gt;Nepareizi&lt;/b&gt; katram no zemāk dotajiem apgalvojumiem.&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50d340bf2197f5.54789001_0"	"PISA_lav-LVA_MAT_M420-Transport_en15_MS2022.xlf"
"1378"	"China"	"Indija"	"M955_stimulus_tr5td1_50d35012be6676.14059508_0"	"PISA_lav-LVA_MAT_M955-Migration_en15_MS2022.xlf"
"953"	"zeds"	"zedus"	"Q1M919_question_Q1sp1_50d34cda75b0d2.13560062_0"	"PISA_lav-LVA_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"1375"	"Canada"	"Brazīlija"	"M955_stimulus_tr4td1_50d35012be5c35.93437549_0"	"PISA_lav-LVA_MAT_M955-Migration_en15_MS2022.xlf"
"1073"	"Runner A"	"Skrējējs A"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_lav-LVA_MAT_M939-Racing_en21_MS2022.xlf"
"1074"	"Runner B"	"Skrējējs B"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_lav-LVA_MAT_M939-Racing_en21_MS2022.xlf"
"942"	"zeds"	"zedu"	"Q2M915_question_sp2_50d34da8ed6b23.38101412_0"	"PISA_lav-LVA_MAT_M915-CarbonTax_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Izmantojot ciparu taustiņus, uzraksti atbildi uz jautājumu.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35f7382b0f9.80178798_0"	"PISA_lav-LVA_MAT_M464-Fence_en15_MS2022.xlf"
