"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"5093"	"United States"	"Страна П"	"q1MA161_question_question01_23_5c9d2137a0f5f8.13056865_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Для использования калькулятора выполните следующие действия:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-QAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5101"	"India"	"Страна Е"	"q1MA161_question_question01_31_5c9d2137a10350.40251800_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5356"	"Colombia"	"Колумбия"	"q2MA161_question_question02_13_5c9d2137d32443.62941631_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5224"	"Portugal"	"Страна Л"	"js_translation_country11_5c9d2137aa0f66.93665247_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5110"	"United States"	"Страна П"	"q1MA161_question_question01_40_5c9d2137a110c0.86932285_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5172"	"Germany"	"Страна Г"	"q3MA160_question_question03_25_5c9d2137a56f90.86616311_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Отметьте &lt;b&gt;«Верное»&lt;/b&gt; или &lt;b&gt;«Неверное»&lt;/b&gt; для каждого утверждения."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-QAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Верное»&lt;/b&gt; или &lt;b&gt;«Неверное»&lt;/b&gt; около каждого утверждения."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_rus-QAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5118"	"India"	"Страна Е"	"q1MA161_question_question01_48_5c9d2137a12145.09399979_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1727"	"5 stars"	"5 звёзд"	"question0a_1_Q00tr2td1_5c9d214b0037c7.14409063_0"	"PISA_rus-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4578"	"A"	"Д"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Для использования калькулятора выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-QAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1621"	"5 stars"	"5 звёзд"	"Page02_stimulus_S02tr2td1_5c9d214af00428.31642796_0"	"PISA_rus-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Соединённое королевство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_rus-QAZ_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1657"	"5 stars"	"5 звёзд"	"Page03_stimulus_S03tr2td1_5c9d214af1ca00.98625007_0"	"PISA_rus-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5100"	"Greece"	"Страна Д"	"q1MA161_question_question01_30_5c9d2137a10205.73881381_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5173"	"Greece"	"Страна Д"	"q3MA160_question_question03_26_5c9d2137a570e0.80849226_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5388"	"Peru"	"Перу"	"q2MA161_question_question02_45_5c9d2137d35621.43690509_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4581"	"A"	"Д"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5183"	"United States"	"Страна П"	"q3MA160_question_question03_36_5c9d2137a57ea9.30690317_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5431"	"Colombia"	"Колумбия"	"js_translation_country5_5c9d2137d78223.94155001_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3981"	"Litres"	"Литры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-QAZ_MAT_MA146-Fuel_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Отметьте &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt; «Нет»&lt;/b&gt; для каждого утверждения."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5218"	"Greece"	"Страна Д"	"js_translation_country5_5c9d2137a9d932.10987867_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1697"	"5 stars"	"5 звёзд"	"Page03_stimulus_S03T2tr2td1_5c9d214af20227.41283365_0"	"PISA_rus-QAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-QAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4591"	"A"	"Д"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4598"	"A"	"Д"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5179"	"Portugal"	"Страна Л"	"q3MA160_question_question03_32_5c9d2137a57901.51264932_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5219"	"India"	"Страна Е"	"js_translation_country6_5c9d2137a9e143.26676805_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5166"	"United States"	"Страна П"	"q3MA160_question_question03_20_5c9d2137a566d0.54129229_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4590"	"D"	"П"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5435"	"Peru"	"Перу"	"js_translation_country9_5c9d2137d7a5c2.79648873_0"	"PISA_rus-QAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5157"	"India"	"Страна Е"	"q3MA160_question_question03_11_5c9d2137a55c37.62554622_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Чтобы ответить на вопрос, выберите два варианта ответа."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-QAZ_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4580"	"D"	"П"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-QAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5089"	"Portugal"	"Страна Л"	"q1MA161_question_question01_19_5c9d2137a0f103.63459738_0"	"PISA_rus-QAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_rus-QAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
