"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"1252"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть Вашу відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"Q2M939_question_Q2itemDirections_5c9d20c9a98357.75664607_1_0"	"PISA_ukr-UKR_MAT_M939-Racing_en21_MS2022.xlf"
"135"	"&lt;b&gt;Population Pyramids&lt;/b&gt;"	"&lt;b&gt;Демографічні Піраміди&lt;/b&gt;"	"Q4M155_question_Q4itemTitle_5c3f6280efa066.81788102_0_0"	"PISA_ukr-UKR_MAT_M155-PopulationPyramids_en21_MS2022.xlf"
"1653"	"Canada"	"Індія"	"M955_stimulus_tr4td1_5c3f62904b3643.83622140_0"	"PISA_ukr-UKR_MAT_M955-Migration_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть Вашу відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"Q1M939_question_Q1itemDirections_5c9d20c9a879e7.23673334_1_0"	"PISA_ukr-UKR_MAT_M939-Racing_en21_MS2022.xlf"
"1656"	"China"	"Канада"	"M955_stimulus_tr5td1_5c3f62904b3be4.38018537_0"	"PISA_ukr-UKR_MAT_M955-Migration_en21_MS2022.xlf"
"1662"	"India"	"Китай"	"M955_stimulus_tr7td1_5c3f62904b45c9.71784249_0"	"PISA_ukr-UKR_MAT_M955-Migration_en21_MS2022.xlf"
"1109"	"zeds"	" "	"Q2M915_question_sp2_5c3f628b905890.36364409_0"	"PISA_ukr-UKR_MAT_M915-CarbonTax_en21_MS2022.xlf"
"1361"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть Вашу відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"Q1M948_question_Q1itemDirections_5c9d20c9b0fe38.09897033_1_0"	"PISA_ukr-UKR_MAT_M948-PartTimeWork_en21_MS2022.xlf"
"591"	"calls&lt;/b&gt;"	"в межах країни&lt;/b&gt;"	"M559_stimulus_tr1td4_5c3f6287388aa9.24036506_2_0"	"PISA_ukr-UKR_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1746"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Виберіть у таблиці Ваші відповіді на запитання та клікніть на них.&lt;/i&gt;"	"Q2M967_question_Q2itemDirections_5c9d20c9d20310.19323241_1_0"	"PISA_ukr-UKR_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"827"	"COUNTRIES"	"РОЗВИВАЮТЬСЯ"	"M828_stimulus_g2label1_5c3f628955d880.85261874_2_0"	"PISA_ukr-UKR_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"1192"	"Type your answer to the question.&lt;/i&gt;"	"Уведіть Вашу відповідь на запитання.&lt;/i&gt;"	"Q2M936_question_Q2itemDirections_5c9d20c99fb4c9.92295429_1_0"	"PISA_ukr-UKR_MAT_M936-SeatsInATheatre_en21_MS2022.xlf"
