"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"2101"	"Is the statement true or false?"	"Según la información, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-CRI_REA_R545-MachuPicchu_en18_MS2022.xlf"
"894"	"True"	"Verdadero"	"R455_question_tr1th2_50d37059683a51.37941523_0"	"PISA_esp-CRI_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;OFI-TICO &lt;br /&gt; Servicio al Clent&lt;br /&gt; Edificio El Dorado&lt;br /&gt; Avenida 10, Calle Central y Primera &lt;/b&gt;San José, Costa Rica &lt;br /&gt;"	"R466_stimulus_line5b_50d37b3c46bea5.74508059_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Entre ¢6000 y ¢14 999&lt;br /&gt;"	"R466_stimulus_sect3left_50d37b3c4707f2.25400025_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"3640"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta. &lt;/i&gt;"	"R558_question2_itemDirections_56fc786b09be36.87322307_1_0"	"PISA_esp-CRI_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"6157"	"&lt;b&gt;Sentences&lt;/b&gt;"	"&lt;b&gt;Oraciones &lt;/b&gt;"	"q0cR590_question_title0c_56fd2311163542.92303026_0"	"PISA_esp-CRI_REA_R590-Sentences01_en18_MS2022.xlf"
"1976"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Considere el texto &quot;Una chispa de genio&quot;  de la derecha."	"R544_question5_itemDirections_56fc78217cc282.26999608_0_0"	"PISA_esp-CRI_REA_R544-Tesla_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lea la información siguiente."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_esp-CRI_REA_R553-HealthForum_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_esp-CRI_REA_R547-BookSurvey_en18_MS2022.xlf"
"1368"	"Refer to the flyer and the webpage on the right by clicking on each of the tabs."	"Considere el  afiche  y la página web de la derecha dándole clic en cada pestaña."	"Q11_question_Q11itemDirections_56fc7820daace5.46406594_0_0"	"PISA_esp-CRI_REA_R541-Plastic_en18_MS2022.xlf"
"5373"	"Read the Introduction."	"Lea la introducción."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_0_0"	"PISA_esp-CRI_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Por compras entre ¢6000  y ¢14 999  OFI-TICO le reembolsa ¢&lt;span id=&quot;q3key&quot;&gt;2000&lt;/span&gt;.&lt;br /&gt; &gt; Por compras entre ¢15 000  y ¢29 999  OFI-TICO le reembolsa ¢5000.&lt;br /&gt; &gt; Por compras iguales o superiores a ¢30 000  OFI-TICO le reembolsa ¢10 000.&lt;br /&gt;"	"R466_stimulus_line5_50d37b3c46b9c9.38537598_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"4105"	"Read the Introduction."	"Lea la introducción."	"q00a-body_q00a-p1_56fc785d252639.73865870_0_0"	"PISA_esp-CRI_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;¡Importante!  No olvide adjuntar:&lt;/b&gt;&lt;br /&gt; &amp;mdash; una copia de su comprobante de compra&lt;br /&gt; &amp;mdash; el código o códigos de barras y la etiqueta o etiquetas con el precio de los productos originales&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b3c471317.43242603_0"	"PISA_esp-CRI_REA_R466-WorkRight_en15_MS2022.xlf"
"4663"	"Read the Introduction."	"Lea la introducción."	"q00body_q00itemDirections_56fc783b5aea95.72363860_0_0"	"PISA_esp-CRI_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Dele clic en la flecha SIGUIENTE para leer el cuento."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_esp-CRI_REA_R570-TheFavour_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escriba las respuestas que se le solicitan."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-CRI_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después dele clic en la flecha SIGUIENTE.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_esp-CRI_REA_R565-SittingDisease_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Dele clic en el resultado de la búsqueda que responde la pregunta."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_esp-CRI_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4499"	"Read the Introduction."	"Lea la introducción."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_0_0"	"PISA_esp-CRI_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3404"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Dele clic en las opciones de la tabla que respondan la pregunta.&lt;/i&gt;"	"R556_question2_itemDirections_56fc783ac2dd82.36710021_1_0"	"PISA_esp-CRI_REA_R556-Microlending_en18_MS2022.xlf"
