"Segment"	"en-ZZ"	"ar-AE"	"ID"	"File"
"1482"	"Using the number keys, type your answer to the question."	"اطبع إجابتك عن السؤال باستخدام  مفاتيح الأرقام."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_ara-ARE_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"ثم انقر على زر&lt;b&gt; التالي &lt;/b&gt; ."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_ara-ARE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"انقر إما على &lt;b&gt;صواب&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة من العبارات."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ara-ARE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5019"	"Mean"	"المتوسط الحسابي"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_ara-ARE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4312"	"Explain your answer."	"اشرح إجابتك."	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_ara-ARE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"ثم انقر على زر&lt;b&gt; التالي &lt;/b&gt; ."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_ara-ARE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اطبع شرحًا للإجابة عن السؤال."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ara-ARE_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓  تذكّر أن تختار مربعاً &lt;b&gt;واحداً أو أكثر&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ara-ARE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"لتشغيل الحاسبة، اتبع هذه الخطوات:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ara-ARE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1170"	"Read the introduction."	"اقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_0_0"	"PISA_ara-ARE_MAT_MA114-Honey_en21_MS2022.xlf"
"4207"	"Explain your answer."	"اشرح إجابتك."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_ara-ARE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1706"	"2 stars"	"نجمتان"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_ara-ARE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"اطبع إجابتك عن السؤال باستخدام  مفاتيح الأرقام."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ara-ARE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2526"	"Read the introduction."	"اقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_0_0"	"PISA_ara-ARE_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"586"	"degrees"	"درجة"	"MA108q01_question_degreeLbl_5c9d2136c0c917.91142403_0"	"PISA_ara-ARE_MAT_MA108-Fountains_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt;المجموع&lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_ara-ARE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4850"	"Mean"	"المتوسط الحسابي"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_ara-ARE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقر إما على &lt;b&gt;نعم &lt;/b&gt; أو &lt;b&gt;لا &lt;/b&gt; لكل عبارة."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ara-ARE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"2‎76 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ara-ARE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"ثم انقر على زر&lt;b&gt; التالي &lt;/b&gt; ."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_ara-ARE_MAT_MA114-Honey_en21_MS2022.xlf"
