"Segment"	"en-ZZ"	"sr-ME"	"ID"	"File"
"1132"	"Explain why.&lt;br /&gt;"	"Objasni zašto je to tako.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_mne-MNE_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2399"	"increase"	"povećava"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2400"	"decrease"	"smanjuje"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2138"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Rizični:&lt;/b&gt; Osobe u ovom stanju nijesu vakcinisane protiv bolesti i mogu oboljeti."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2533"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Naftne mrlje &lt;/b&gt;&lt;br /&gt; Pitanje"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_mne-MNE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2139"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Zaraženi:&lt;/b&gt; Osobe u ovom stanju boluju od bolesti i mogu zaraziti druge."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"914"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekat ostrva vreline u gradu &lt;/b&gt;&lt;br /&gt; Pitanje"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_mne-MNE_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1111"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta &quot;Voda iz magle&quot; s desne strane. Odgovori na pitanje klikom na jedno ili više polja.&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_mne-MNE_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2136"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Ova simulacija ti omogućava da istražiš uticaj vakcinacije na širenje zarazne bolesti među populacijom ljudi izloženoj toj bolesti."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2479"	"Low"	"Nizak"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2257"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Odlično!&lt;br /&gt;Da nastaviš, klikni na strelicu SLJEDEĆE."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"1846"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"Koristi informacije iz teksta &quot;Kitovi i buka s brodova&quot; s desne strane. Odgovori na pitanje klikom na jedan od ponuđenih odgovora."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_mne-MNE_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2478"	"None"	"Nema ulova"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1277"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Ptice i gusjenice&lt;/b&gt;&lt;br /&gt; Pitanje"	"S607_question2_itemTitle2_5174071342fd00.51354019_0"	"PISA_mne-MNE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2431"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Sasimo ribe&lt;/b&gt;&lt;br /&gt; Pitanje"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2971"	"Earth"	"Zemlja"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_mne-MNE_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2649"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Upoređivanje sijalica&lt;/b&gt;&lt;br /&gt;Pitanje"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_mne-MNE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2274"	"High"	"Visok"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2796"	"Delete some data to run more trials."	"Da pokreneš više simulacija, obriši neke podatke."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_mne-MNE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2487"	"RUN"	"POKRENI"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2486"	"High"	"Visok"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1023"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odgovori na pitanje klikom na jedan od ponuđenih odgovora&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_mne-MNE_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2723"	"Incandescent"	"Sijalica sa užarenim vlaknom"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_mne-MNE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2660"	"LED light bulbs"	"LED sijalicama"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_mne-MNE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1909"	"Whales and Shipping Noise"	"Kitovi i buka s brodova"	"S626_stimulus3_subTitle3_515e3a7276e115.16630132_0"	"PISA_mne-MNE_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2489"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Odlično!&lt;br /&gt; Da nastaviš, klikni na strelicu &quot;SLJEDEĆE&quot;."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2802"	"The Run button to display the results."	"Dugme &quot;Pokreni&quot; za prikazivanje rezultata."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_mne-MNE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2685"	"Incandescent"	"Sijalica sa užarenim vlaknom"	"sim_1_q02sim2_51940c102b16e1.40689421_0"	"PISA_mne-MNE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2239"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Podsjećamo te da možeš da izabereš &lt;b&gt;jedno ili više&lt;/b&gt; polja."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2135"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;Vakcinacija i širenje bolesti&lt;/b&gt;&lt;br /&gt; Uvod"	"question000_1_itemTitle000_5193fde5990925.27734994_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2137"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"Svaka se osoba u simulaciji uvijek nalazi u jednom od sljedeća tri stanja:"	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2668"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Upoređivanje sijalica&lt;/b&gt;&lt;br /&gt;Pitanje"	"question6_1_itemTitle06_51940c102836a9.96822119_0"	"PISA_mne-MNE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2553"	"Can this question be answered by scientific experiments?"	"Može li se na ovo pitanje odgovoriti pomoću naučnih eksperimenata?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_mne-MNE_SCI_S638-OilSpills_en15_MS2022.xlf"
"375"	"&lt;i&gt;Refer to &quot;Penguin Island  – Table 1&quot; on the right. Click on a choice to answer to the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta &quot;Ostrvo pingvina - Tabela 1&quot; s desne strane. Odgovori na pitanje klikom na jedan od ponuđenih odgovora.&lt;/i&gt;"	"S425_question3_itemDirections3_5134b473af5c63.28478860_0"	"PISA_mne-MNE_SCI_S425-PenguinIsland_en15_MS2022.xlf"
"1992"	"S627 Car Tyres Q03"	"S627 Automobilske gume Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_mne-MNE_SCI_S627-CarTyres_en15_MS2022.xlf"
"2140"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Izliječeni/Vakcinisani:&lt;/b&gt; Osobe u ovom stanju, ili su bolovale od bolesti nakon čega su se izliječile, ili su bile vakcinisane protiv bolesti. U simulaciji, te osobe ne mogu oboljeti."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"1407"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi  informacije iz teksta &quot;Amonoidi&quot; s desne strane. Odgovori na pitanje koristeći funkciju &quot;prevuci i postavi&quot;.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_mne-MNE_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2435"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Podsjećamo te da možeš  izabrati  &lt;b&gt;jedno ili više&lt;/b&gt; polja."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2120"	"To run this simulation, you can use the following controls:"	"Da bi pokrenuo/pokrenula simulaciju, možeš  koristiti sljedeće komande:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_mne-MNE_SCI_S634-Vaccination_en15_MS2022.xlf"
"629"	"Belltown"	"Naša Varoš"	"S466_stimulus2_label3_5134b476744c16.60851487_0"	"PISA_mne-MNE_SCI_S466-ForestFires_en15_MS2022.xlf"
"2485"	"Medium"	"Srednji"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_mne-MNE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
