"Segment"	"en-ZZ"	"nl-BE"	"ID"	"File"
"2618"	"No"	"Nee"	"R549_question09_q09tr1th3_56fc786ad75711.83888803_0"	"PISA_nld-BEL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2102"	"True"	"Juist"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_nld-BEL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2596"	"No"	"Nee"	"R549_question08_q08tr1th3_56fc786ad570d8.93155898_0"	"PISA_nld-BEL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5771"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;De opruimactie&lt;/b&gt;&lt;br/&gt;"	"q2R569_question_q02itemTitle_56fc78794f2d31.82534613_0_0"	"PISA_nld-BEL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5336"	"No"	"Nee"	"R567_question09_q09tr1th3_56fc7879177dd7.74023926_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4167"	"True"	"Juist"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_nld-BEL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"321"	"PHONE"	"TEL."	"R219_stimulus_sect4Line2span3_50c7b75cbd37a9.99863814_0"	"PISA_nld-BEL_REA_R219-Employment_en15_MS2022.xlf"
"5412"	"No"	"Nee"	"R567_question11_q11tr1th3_56fc78792000e1.50715466_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"Fout"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_nld-BEL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3076"	"No"	"Nee"	"R552_question04_tr1th3_56fd794262df01.17012828_0"	"PISA_nld-BEL_REA_R552-FestiRock_en18_MS2022.xlf"
"5140"	"No"	"Nee"	"R566_question09_question09_4_56fc786b9009a6.03625702_0"	"PISA_nld-BEL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3646"	"No"	"Nee"	"R558_question2_tr1th3_56fc786b09cc09.99959195_0"	"PISA_nld-BEL_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1997"	"No"	"Nee"	"R544_question6_question6_2_56fc78217e85e1.98531365_0"	"PISA_nld-BEL_REA_R544-Tesla_en18_MS2022.xlf"
"5312"	"True"	"Juist"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_nld-BEL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"637"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Kijk naar pagina &lt;b&gt;1&lt;/b&gt;."	"R404_question_introBullet1_50c7c8163e3312.92535388_0"	"PISA_nld-BEL_REA_R404-Sleep_en15_MS2022.xlf"
"5661"	"No"	"Nee"	"R568_question10_question10_4_56fc784ab37d19.69683424_0"	"PISA_nld-BEL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3977"	"No"	"Nee"	"R560_question05_q05tr1th3_56fc784a7de774.57578747_0"	"PISA_nld-BEL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2337"	"No"	"Nee"	"R547_question7_tr1th3_56fc782e0f8c88.71486934_0"	"PISA_nld-BEL_REA_R547-BookSurvey_en18_MS2022.xlf"
"1313"	"False"	"Fout"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_nld-BEL_REA_R541-Plastic_en18_MS2022.xlf"
"2103"	"False"	"Fout"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_nld-BEL_REA_R545-MachuPicchu_en18_MS2022.xlf"
