"Segment"	"en-ZZ"	"ar-PS"	"ID"	"File"
"1846"	"&lt;b&gt;&lt;/b&gt;"	"&lt;b&gt;"	"MA123_stimulus_stimulus_1_5c9d214b2d8956.90947443_0"	"PISA_ara-PSE_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_ara-PSE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3550"	"cm"	"السنتيمترات"	"q2CMA138_question_question02_6_5c9d2164847a51.73603701_0"	"PISA_ara-PSE_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_ara-PSE_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2749"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_ara-PSE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"اختر الإجابة من القوائم المنسدلة في الجدول."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_ara-PSE_MAT_MA146-Fuel_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"لاستخدام هذه الحاسبة، اتبع هذه الخطوات:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ara-PSE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_ara-PSE_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"انقرْ على مربع أو أكثر للإجابة عن السؤال."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1709"	"1 star"	"نجمة واحدة"	"Page03_stimulus_S03T2tr6td1_5c9d214af215f3.41082922_0"	"PISA_ara-PSE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3619"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA140_question2_q2itemDirections_5c9d21649c7fa5.69809185_1_0"	"PISA_ara-PSE_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_ara-PSE_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
