"Segment"	"en-ZZ"	"el-GR"	"ID"	"File"
"1125"	"&lt;b&gt;Building a Legend&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; Η κατασκευή ενός θρύλου&lt;/b&gt;&lt;br /&gt;"	"R540Q03Body_Q03itemTitle_56fc7820b2dd64.25916814_0_0"	"PISA_ell-GRC_REA_R540-BuildingALegend_en18_MS2022.xlf"
"304"	"S"	"Κ"	"R219_stimulus_stimulus_10_50c7b795090fa8.56611010_0"	"PISA_ell-GRC_REA_R219-Employment_en15_MS2022.xlf"
"3786"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_ell-GRC_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4355"	"About Us"	"Σχετικά με εμάς"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2726"	"Ancestral Puebloans"	"Οι Προγονικοί  Πουέμπλος"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"2687"	"Ancestral Puebloans"	"Οι Προγονικοί  Πουέμπλος"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"4567"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_1_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R550_question07_q07itemDirections_56fc785ce9aa50.47831080_1_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"1060"	"Town/ City:"	"Περιοχή /Πόλη:"	"R466_stimulus_line10_50c7c95e085a50.56082680_0"	"PISA_ell-GRC_REA_R466-WorkRight_en15_MS2022.xlf"
"2801"	"Autumn"	"Το φθινόπωρο"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"3042"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_ell-GRC_REA_R552-FestiRock_en18_MS2022.xlf"
"3549"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_ell-GRC_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3071"	"Click on the choices in the table to answer the question."	"Κάνε κλικ στις επιλογές του πίνακα, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R552_question04_q04itemDirections_56fd794262d177.81724264_1_0"	"PISA_ell-GRC_REA_R552-FestiRock_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_ell-GRC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2898"	"Type your answer to the question."	"Πληκτρολόγησε την απάντησή σου στην ερώτηση.&lt;/i&gt;"	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_ell-GRC_REA_R550-CliffPalace_en18_MS2022.xlf"
"4618"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_1_0"	"PISA_ell-GRC_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3377"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Να διαβάσεις την εισαγωγή."	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_ell-GRC_REA_R556-Microlending_en18_MS2022.xlf"
"5311"	"According to the text, is the statement true or false?"	"Σύμφωνα με το κείμενο, η πρόταση είναι σωστή ή λανθασμένη;"	"R567_question08_q08tr1th1_56fc7879157ab4.93560286_0"	"PISA_ell-GRC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6158"	"Read the information below."	"&lt;i&gt;Να διαβάσεις τις παρακάτω πληροφορίες."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_ell-GRC_REA_R590-Sentences01_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"Μετά κάνε κλικ στο βελάκι ΕΠΟΜΕΝΟ.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_ell-GRC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Κάνε κλικ στις επιλογές του πίνακα, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_ell-GRC_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3828"	"Click on a choice to answer the question."	"Κάνε κλικ σε μια επιλογή, για να απαντήσεις στην ερώτηση.&lt;/i&gt;"	"R559_question04_q04itemDirections_56fc783b27f456.31679060_1_0"	"PISA_ell-GRC_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"4314"	"Type your answer to the question."	"Πληκτρολόγησε την απάντησή σου στην ερώτηση.&lt;/i&gt;"	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_ell-GRC_REA_R562-OpeningNight_en18_MS2022.xlf"
