"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"2335"	"select"	"Izaberi"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1340"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Koristi  informacije iz teksta „Amonoidi” sa desne strane. Odgovori na pitanje koristeći opciju „prevuci i spusti”.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_srp-SRB_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2571"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Da sakupiš podatke koji se zasnivaju na informacijama datim dole, pokreni simulaciju. Odgovori na pitanje tako što ćeš kliknuti na jedan ili više izabranih kvadratića.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2904"	"Earth"	"Zemlja"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_srp-SRB_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2206"	"Medium"	"Srednji"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"53"	"&lt;i&gt;Refer to &quot;Milk&quot; on the right.  Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta „Mleko” sa desne strane. Napiši odgovor na pitanje&lt;/i&gt;"	"S326_question2_itemDirections2_56d724d8f0d443.07849490_0"	"PISA_srp-SRB_SCI_S326-Milk_en18_MS2022.xlf"
"2071"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Rizični:&lt;/b&gt; Osobe u ovom stanju nisu vakcinisane protiv bolesti i mogu oboleti."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_srp-SRB_SCI_S634-Vaccination_en15_MS2022.xlf"
"2413"	"Medium"	"Srednji"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2336"	"increase"	"povećava"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2289"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"U ovoj simulaciji moći ćeš istražiti na koji način nivoi ulova haringe i bakalara utiču na biomasu svakog organizma u zalivu, nakon razdoblja od pet godina."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2594"	"Halogen light bulbs"	"Halogenim sijalicama"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_srp-SRB_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2333"	"decrease"	"smanjuje"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2411"	"None"	"Nema ulova"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_srp-SRB_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1210"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Ptice i gusenice&lt;/b&gt;&lt;br /&gt; Pitanje"	"S607_question2_itemTitle2_5174071342fd00.51354019_0"	"PISA_srp-SRB_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
