"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"3835"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_deu-CHE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2893"	"Click on a choice and then type an explanation to answer the question."	"Klicke eine Antwort an und gib dann eine Erklärung ein, um die Frage zu beantworten.&lt;/i&gt;"	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_deu-CHE_REA_R552-FestiRock_en18_MS2022.xlf"
"3011"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R553_question2_q02itemDirections_56fc784a5d6452.10662812_1_0"	"PISA_deu-CHE_REA_R553-HealthForum_en18_MS2022.xlf"
"1446"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Ja, das ist mein Plan, aber ich interessiere mich mehr für den Aushang zur Aufgabenhhilfe..."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_deu-CHE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2987"	"&lt;i&gt;Read the information below."	"Lies die Informationen unten."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_deu-CHE_REA_R553-HealthForum_en18_MS2022.xlf"
"4613"	"Click a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten."	"R566_question06_q06itemDirections_56fc786b8a1669.36610157_1_0"	"PISA_deu-CHE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4201"	"Type your answers to the questions."	"Gib deine Antworten auf die Frage ein."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_deu-CHE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1960"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_deu-CHE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4742"	"Click on a choice to answer the question."	"Klicke eine Antwort an, um die Frage zu beantworten.&lt;/i&gt;"	"R567_question04_q04itemDirections_56fc78790f8a73.23597526_1_0"	"PISA_deu-CHE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5532"	"Read the introduction."	"&lt;i&gt;Lies die Einleitung."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_deu-CHE_REA_R590-Sentences01_en18_MS2022.xlf"
