"Segment"	"en-ZZ"	"et-EE"	"ID"	"File"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pea meeles valida &lt;b&gt;üks või mitu&lt;/b&gt; kasti."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_est-EST_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pea meeles valida &lt;b&gt;üks või mitu&lt;/b&gt; kasti."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_est-EST_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Pea meeles valida &lt;b&gt;üks või mitu&lt;/b&gt; kasti."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_est-EST_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4700"	"Construction Vehicle"	"Ehitussõiduki"	"q2MA157_question_question02_5_5c9d216572f2a6.82105559_0"	"PISA_est-EST_MAT_MA157-Tyres_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Küsimusele vastamiseks klõpsa kahte kasti."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_est-EST_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Põhjenda vastust ja esita põhjenduse toetuseks arvulised väärtused."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_est-EST_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klõpsa järgmises tabelis iga väite juures vastust &lt;b&gt;Tõene&lt;/b&gt; või &lt;b&gt;Väär&lt;/b&gt;."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_est-EST_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_est-EST_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Ühendkuningriik"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_est-EST_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_est-EST_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klõpsa iga väite juures vastust &lt;b&gt;Jah&lt;/b&gt; või &lt;b&gt;Ei&lt;/b&gt;.&lt;br /&gt;"	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_est-EST_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3981"	"Litres"	"Liitrid"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_est-EST_MAT_MA146-Fuel_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Kalkulaatori kasutamiseks toimi järgmiselt."	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_est-EST_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5460"	"Click on “Run.”"	"klõpsa nuppu „Käivita”."	"menu_1_menu_OL1aLI4_5c9d2137da1fc6.76973747_0"	"PISA_est-EST_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"844"	"22 September"	"22. septembril"	"Q3M111_question_question3_1_5c9d214a5b1db1.69101916_0"	"PISA_est-EST_MAT_MA111-HealthApp_en21_MS2022.xlf"
