"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Remdamiesi dešinėje pateikta 1-o grafiko informacija, pasirinkite atsakymą.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec52565e2331.27626843_0"	"PISA_lit-LTU_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"488"	"&lt;b&gt;Graph 1&lt;/b&gt;"	"&lt;b&gt;1 grafikas&lt;/b&gt;"	"S428_stimulus2_subtitle_50ec5256667ec1.21842806_0"	"PISA_lit-LTU_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"262"	"High"	"Didelis"	"S413_question3_q3t3tr3td2_50ec42b8d956e1.94125304_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2621"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Lempučių  palyginimas&lt;/b&gt;&lt;br /&gt; Klausimas"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_lit-LTU_SCI_S643-LightBulbs_en15_MS2022.xlf"
"245"	"Low"	"Mažas"	"S413_question3_q3t1tr6td2_50ec42b8d90793.84101590_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"83"	"Proteins"	"Baltymų"	"S326_stimulus2_t2tr2td2_50ec4a7b9c7601.01924567_0"	"PISA_lit-LTU_SCI_S326-Milk_en15_MS2022.xlf"
"252"	"High"	"Didelis"	"S413_question3_q3t2tr4td2_50ec42b8d926a7.46503886_0"	"PISA_lit-LTU_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2241"	"Herring"	"Silkė"	"js_translation_tableH2C5_51940bae348f09.74351650_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Vidu-&lt;br /&gt;tinis"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2422"	"Cod"	"Menkė"	"S635_stimulus1_cap4_51940bae4c1bb8.21659408_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"635"	"Belltown"	"Senamiestis"	"S466_stimulus2_label3_50ed2454088358.17698097_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
"2426"	"Herring"	"Silkė"	"stimulus2_1_stimulus2_13_51940bae4f4b49.35250034_0"	"PISA_lit-LTU_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S629 Saulės viryklė"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_lit-LTU_SCI_S638-OilSpills_en15_MS2022.xlf"
"597"	"&lt;b&gt;Forest Fires&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;MIŠKŲ GAISRAI&lt;/b&gt;&lt;br /&gt; Klausimas"	"S466_question2_itemTitle2_50ed245403d4c8.82840538_0"	"PISA_lit-LTU_SCI_S466-ForestFires_en15_MS2022.xlf"
