"Segment"	"en-ZZ"	"ro-MD"	"ID"	"File"
"3727"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R559_question02_q02itemDirections_5c9d225a0a89e5.45985887_1_0"	"PISA_ron-MDA_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"5356"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"q4R569_question_q04itemDirections_5c9d225bc32b91.09930143_1_0"	"PISA_ron-MDA_REA_R569-TheCleanup_en21_MS2022.xlf"
"5508"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R570_question05_q05itemDirections_5c9d225beb6572.44466392_1_0"	"PISA_ron-MDA_REA_R570-TheFavour_en21_MS2022.xlf"
"4330"	"Refer to the different webpages of the website on the right."	"Raportați-Vă la diferitele pagini de internet din dreapta."	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_0_0"	"PISA_ron-MDA_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4152"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R562_question05_q05itemDirections_5c9d225a8a72c7.90956094_1_0"	"PISA_ron-MDA_REA_R562-OpeningNight_en21_MS2022.xlf"
"3675"	"Explain your answer."	"Justifică-ţi răspunsul."	"R558_question09_Q09p6_5c9d2259e1c177.99115138_0"	"PISA_ron-MDA_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5345"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"q3R569_question_q03itemDirections_5c9d225bc19df3.83780861_1_0"	"PISA_ron-MDA_REA_R569-TheCleanup_en21_MS2022.xlf"
"1097"	"&lt;b&gt;Job Vacancy&lt;/b&gt;"	"&lt;b&gt;Ofertă de angajare&lt;/b&gt;"	"R446_question_itemTitle_5c3f627bb734a7.05531939_0_0"	"PISA_ron-MDA_REA_R446-JobVacancy_en21_MS2022.xlf"
"5471"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_ron-MDA_REA_R570-TheFavour_en21_MS2022.xlf"
"1048"	"2"	"tariul 2"	"R432_question_tr1th4_5c3f627a7be7b7.08141552_2_0"	"PISA_ron-MDA_REA_R432-AboutABook_en21_MS2022.xlf"
"3846"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R560_question04_q04itemDirections_5c9d225a2b2482.58661381_1_0"	"PISA_ron-MDA_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4817"	"Click on a choice and then type an explanation to answer the question."	"Dați clic pe o variantă și apoi redactați o explicație pentru a răspunde la întrebare."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_ron-MDA_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4389"	"Refer to the different webpages of the website on the right."	"Raportați-Vă la diferitele pagini de internet din dreapta."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_ron-MDA_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"1479"	"— The bar code(s) or price tag(s) of the original products"	"—Codul(rile) de bare sau eticheta(ele) cu preţul(rile) produselor."	"R466_stimulus_sect3right_5c3f627ee1fa08.96367850_5_0"	"PISA_ron-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"4793"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R566_question06_q06itemDirections_5c9d225b2fd044.38681925_1_0"	"PISA_ron-MDA_REA_R566-SkelligRocks_en21_MS2022.xlf"
"2540"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dați clic pe una dintre variantele din tabel."	"R547_question7_itemDirections_5c9d219f1f6623.95886149_1_0"	"PISA_ron-MDA_REA_R547-BookSurvey_en21_MS2022.xlf"
"1462"	"County/ State:"	"Raion:"	"R466_stimulus_s2line11_5c3f627ee1eae7.81828939_0"	"PISA_ron-MDA_REA_R466-WorkRight_en21_MS2022.xlf"
"1948"	"Tuesday"	"Marți"	"Q09R542_question_Q09r3c1_5c9d219e5fafa2.87807513_0"	"PISA_ron-MDA_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4995"	"Click on a choice to answer the question."	"Dați clic pe o variantă pentru a răspunde la întrebare."	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_1_0"	"PISA_ron-MDA_REA_R567-SmokeJumpers_en21_MS2022.xlf"
