"Segment"	"en-ZZ"	"hr-HR"	"ID"	"File"
"2753"	"Home"	"Početna stranica"	"R550_map_map_l1_56fc785cd177d9.30991384_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"2711"	"Home"	"Početna stranica"	"R550_general_info_gi_l1_56fc785ccd89f9.96697154_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"5824"	"Benches"	"Na klupama"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Važno!  Ne zaboravite priložiti:&lt;/b&gt;&lt;br /&gt; &amp;mdash; kopiju dokaza o kupnji &lt;br /&gt; &amp;mdash; bar kod/ove ili etiketu/e s cijenom originalnih proizvoda&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b217a9467.39206988_0"	"PISA_hrv-HRV_REA_R466-WorkRight_en15_MS2022.xlf"
"2684"	"Home"	"Početna stranica"	"R550_cliff_palace_cp_l1_56fc785ccaeae5.87924992_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"369"	"0"	"D"	"R220_question_attr_value_attr_R220Q02RADIO_3_50d37470713a26.04404353_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen je želio pobjedu na Južnom polu. Dana 14. siječnja 1911. iskrcao se u Zaljevu kitova na Antarktici. Pripremio se provesti zimu s osmero suputnika i 116 pasa u Framheimu, bazi izgrađenoj na Rossovu ledenom šelfu . Dana 20. listopada 1911. Amundsen i četvero njegovih ljudi krenuli su iz Framheima u osvajanje Južnog pola s dvanaest pasa po saonicama. Dana 17. studenog, na oko 85° južno, stigli su do podnožja Transantarktičkog lanca i sada su ga trebali prijeći. Tada su započeli sa zastrašujućim uspinjanjem uz Axel Heiberg, ledenjak prepun pukotina."	"R220_stimulus_p2_50d3747084e7d9.71309406_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Odgovori na pitanje klikom na jedan od rezultata pretraživanja."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_hrv-HRV_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"403"	"0"	"B"	"R220_question_attr_value_attr_R220Q04RADIO_1_50d37470750fa7.25038341_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"301"	"T"	"Č"	"R219_stimulus_stimulus_7_50d36db01a0f20.47850504_0"	"PISA_hrv-HRV_REA_R219-Employment_en15_MS2022.xlf"
"2723"	"Home"	"Početna stranica"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_hrv-HRV_REA_R550-CliffPalace_en18_MS2022.xlf"
"2613"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R549_question09_q09itemDirections_56fc786ad73fc8.62615218_1_0"	"PISA_hrv-HRV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"418"	"0"	"D"	"R220_question_attr_value_attr_R220Q05RADIO_3_50d37470770c04.30863867_0"	"PISA_hrv-HRV_REA_R220-SouthPole_en15_MS2022.xlf"
"1545"	"Tutors for All"	"Školski instruktori"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_hrv-HRV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"A meni je bila čast slušati je.”&lt;/i&gt;"	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_hrv-HRV_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5810"	"Cans"	"Limenki"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"1313"	"False"	"Netočna"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_hrv-HRV_REA_R541-Plastic_en18_MS2022.xlf"
"2591"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na ponuđene odgovore u tablici."	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_hrv-HRV_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5827"	"Parking Lot"	"Na parkiralištu"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_hrv-HRV_REA_R569-TheCleanup_en18_MS2022.xlf"
"304"	"S"	"N"	"R219_stimulus_stimulus_10_50d36db01a1aa2.11245611_0"	"PISA_hrv-HRV_REA_R219-Employment_en15_MS2022.xlf"
