"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"4933"	"Business"	"Betriebswirtschaft"	"q2MA160_question_question02_16_5c9d21377ddc20.75373773_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5019"	"Mean"	"Mittelwert"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_deu-CHE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3194"	"Select"	"Wähle"	"Q1MA134_question_Q01tr2td1SELECT1o0_5c9d2164318406.38896392_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2255"	"Select"	"Wähle"	"MA126_question02_S02tr7o0_5c9d214b527777.68714529_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"3206"	"Select"	"Wähle"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5278"	"Mean"	"Mittelwert"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_deu-CHE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3465"	"Select"	"Wähle"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_deu-CHE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Um diesen Rechner zu verwenden, folge diesen Schritten:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_deu-CHE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2265"	"Select"	"Wähle"	"MA126_question02_S02tr9o0_5c9d214b528bc8.97835627_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"2280"	"Select"	"Wähle"	"MA126_question02_S02tr12o0_5c9d214b52b310.84213382_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Um diesen Rechner zu verwenden, folge diesen Schritten:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_deu-CHE_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5075"	"Statement"	"Frage"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_deu-CHE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4934"	"Economics"	"Wirtschaftswissenschaften"	"q2MA160_question_question02_17_5c9d21377ddd47.26582454_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2245"	"Select"	"Wähle"	"MA126_question02_S02tr5o0_5c9d214b526582.27106050_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Klicke zwei Kästchen an, um die Frage zu beantworten."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_deu-CHE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4923"	"Business"	"Betriebswirtschaft"	"q2MA160_question_question02_7_5c9d21377dd0b1.66378605_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4925"	"Nursing"	"Pflegewissenschaft"	"q2MA160_question_question02_9_5c9d21377dd2c3.00485134_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2230"	"Select"	"Wähle"	"MA126_question02_S02tr2o0_5c9d214b524d76.91738922_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"2225"	"Select"	"Wähle"	"MA126_question02_S02tr1o0_5c9d214b524626.30637212_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"2240"	"Select"	"Wähle"	"MA126_question02_S02tr4o0_5c9d214b525d35.29219918_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"3188"	"Select"	"Wähle"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_deu-CHE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4924"	"Economics"	"Wirtschaftswissenschaften"	"q2MA160_question_question02_8_5c9d21377dd1b7.58813656_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_deu-CHE_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2275"	"Select"	"Wähle"	"MA126_question02_S02tr11o0_5c9d214b52a4c8.83086782_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"1825"	"Select"	"Wähle"	"MA121_question02_Q02UL2Li2o0_5c9d214b05a8c2.07370665_0"	"PISA_deu-CHE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4935"	"Nursing"	"Pflegewissenschaft"	"q2MA160_question_question02_18_5c9d21377dde66.88213774_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3475"	"Select"	"Wähle"	"q2CMA137_question_q1D0_5c9d216470c463.55070529_0"	"PISA_deu-CHE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2260"	"Select"	"Wähle"	"MA126_question02_S02tr8o0_5c9d214b528133.68273862_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"4850"	"Mean"	"Mittelwert"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_deu-CHE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2250"	"Select"	"Wähle"	"MA126_question02_S02tr6o0_5c9d214b526e30.75797689_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_deu-CHE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1820"	"Select"	"Wähle"	"MA121_question02_Q02UL2Li1o0_5c9d214b05a107.46709526_0"	"PISA_deu-CHE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Verwende die Ziffern auf der Tastatur, um deine Antwort auf die Frage einzugeben."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_deu-CHE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2969"	"x"	"α"	"MA133_stimulus_SxLbl_5c9d2164218182.03155443_0"	"PISA_deu-CHE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1830"	"Select"	"Wähle"	"MA121_question02_Q02UL2Li3o0_5c9d214b05b0d3.85923571_0"	"PISA_deu-CHE_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3470"	"Select"	"Wähle"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_deu-CHE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2270"	"Select"	"Wähle"	"MA126_question02_S02tr10o0_5c9d214b529a89.07692092_0"	"PISA_deu-CHE_MAT_MA126-Robot_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Erkläre deine Antwort und verwende Zahlen, um deine Erklärung zu stützen."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_deu-CHE_MAT_MA146-Fuel_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Denk daran, &lt;b&gt;ein oder mehrere&lt;/b&gt; Kästchen auszuwählen."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_deu-CHE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
