"Segment"	"en-ZZ"	"id-ID"	"ID"	"File"
"827"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q2M111_question_Q2itemDirections_5c9d214a59d864.67731521_1_0"	"PISA_ind-IDN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4503"	"Use the simulator to help you answer the question below."	"Gunakan simulator untuk membantumu menjawab pertanyaan berikut."	"MA153q01_question_q01itemDirections_5c9d2137456f45.88842568_1_0"	"PISA_ind-IDN_MAT_MA153-Gears_en21_MS2022.xlf"
"1741"	"3 stars"	"3 Bintang"	"question0a_1_Q00tr4td1_5c9d214b004ab0.93122163_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ind-IDN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1703"	"3 stars"	"3 Bintang"	"Page03_stimulus_S03T2tr4td1_5c9d214af20bc4.48892052_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_ind-IDN_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ind-IDN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1709"	"1 star"	"1 Bintang"	"Page03_stimulus_S03T2tr6td1_5c9d214af215f3.41082922_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_ind-IDN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Untuk menggunakan kalkulator, ikuti langkah berikut:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ind-IDN_MAT_MA112-Metabolism_en21_MS2022.xlf"
