"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"2458"	"High"	"많음"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2425"	"Zooplankton"	"동물성 플랑크톤"	"stimulus2_1_stimulus2_9_51940bae4f4596.30670753_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;물음에 대한 답으로 한 개 또는 그 이상을 클릭하시오. &lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"이 시뮬레이션을 실행시키기 위해 다음의 조절기를 사용할 수 있습니다."	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_kor-KOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"3010"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;침입종&lt;/b&gt;&lt;br /&gt; 문제"	"S657_question4_itemTitleqS4_518050dc4689a8.97679857_0"	"PISA_kor-KOR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2084"	"Solar Cooker"	"태양광 조리기"	"S629_stimulus1_attr_alt_attr_stimulus1_1_515e3a72916242.75942693_0"	"PISA_kor-KOR_SCI_S629-SolarCooker_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 토네이도 Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_kor-KOR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"이 시뮬레이션에서는 대구와 청어의 어획량이 5년 후 이 만에 있는 각 생물 종류의 생물량에 미치는 영향을 탐구할 수 있다."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2698"	"Halogen"	"할로젠"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"다른 시뮬레이션을 실행하려면 일부 자료를 삭제하시오."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_kor-KOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2663"	"Halogen"	"할로젠"	"sim_1_q02sim5_51940c102b2833.62847084_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2245"	"Medium"	"보통"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1664"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;토네이도&lt;/b&gt;&lt;br /&gt; 문제"	"S620_Q2_QitemTitle2_51740713a06d43.54952946_0"	"PISA_kor-KOR_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2244"	"Low"	"적음"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;도입부를 읽고,  [&lt;b&gt;다음 화면&lt;/b&gt;] 버튼을 클릭하시오.&lt;/i&gt;"	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_kor-KOR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt;반드시 &lt;b&gt;한 개 또는 그 이상&lt;/b&gt;을 선택하시오.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_kor-KOR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2420"	"Zooplankton"	"동물성 플랑크톤"	"S635_stimulus1_cap2_51940bae4c11b1.15202232_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"적음"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"이 물음은 과학적 실험에 의해 답이 구해질 수 있는가?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_kor-KOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627자동차 타이어 Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_kor-KOR_SCI_S627-CarTyres_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"이 시뮬레이션의 조절기 사용법을 확인하기 위해, 다음 단계를 따르시오:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_kor-KOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 기름 유출 Q01"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_kor-KOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2125"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt;  &lt;b&gt;&lt;/b&gt; &lt;/i&gt;  &amp;check; &lt;i&gt;반드시 &lt;b&gt;한 개 또는 그 이상&lt;/b&gt;을 선택하시오.&lt;/i&gt;"	"question1_1_q1p3_5193fde59b26d2.60726263_0"	"PISA_kor-KOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;아래의 정보를 바탕으로 자료를 수집하기 위해 시뮬레이션을 실행하시오. 물음에 대한 답으로 한 개 또는 그 이상을 선택하시오.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_kor-KOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2783"	"This simulation allows you to observe the results of a reaction between substance A and substance B. You will explore how the volumes of the two substances affect both the size of the particles produced and the reaction time."	"이 시뮬레이션에서는 물질 A와 물질 B 사이의 반응 결과를 관찰할 수 있다. 두 물질의 부피가 생성된 입자의 크기와 반응 시간에 미치는 영향을 탐구한다."	"question1_1_q01p1_51940c1035b265.52697733_0"	"PISA_kor-KOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2452"	"Medium"	"보통"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_kor-KOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
