"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"1820"	"Select"	"Tanlang"	"MA121_question02_Q02UL2Li1o0_5c9d214b05a107.46709526_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2275"	"Select"	"Tanlang"	"MA126_question02_S02tr11o0_5c9d214b52a4c8.83086782_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Har bir mulohaza uchun &lt;b&gt;to'g'ri&lt;/b&gt; yoki &lt;b&gt;noto'g'ri&lt;/b&gt; tanlovini bosing."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_uzb-UZB_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_uzb-UZB_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2240"	"Select"	"Tanlang"	"MA126_question02_S02tr4o0_5c9d214b525d35.29219918_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Esda saqlang: &lt;b&gt;bir yoki bir nechta&lt;/b&gt; katakchalarni tanlash mumkin."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_uzb-UZB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_uzb-UZB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Savolga javob berish uchun bir yoki bir necha katakchalarni bosing."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_uzb-UZB_MAT_MA114-Honey_en21_MS2022.xlf"
"3206"	"Select"	"Tanlang"	"Q1MA134_question_Q01tr4td1SELECT1o0_5c9d2164319403.08217963_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Esda saqlang: &lt;b&gt;bir yoki bir nechta&lt;/b&gt; katakchalarni tanlash mumkin."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_uzb-UZB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5019"	"Mean"	"O'rta qiymat"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_uzb-UZB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2803"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA131_question2_q2itemDirections_5c9d214ba31f93.93028518_1_0"	"PISA_uzb-UZB_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Javobingizni izohlang va izohingizni to'ldirish uchun raqamli qiymatlarni keltirib o'ting."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_uzb-UZB_MAT_MA146-Fuel_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Savolga javob berish uchun bir yoki bir necha katakchalarni bosing."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_uzb-UZB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_uzb-UZB_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1825"	"Select"	"Tanlang"	"MA121_question02_Q02UL2Li2o0_5c9d214b05a8c2.07370665_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_uzb-UZB_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"1830"	"Select"	"Tanlang"	"MA121_question02_Q02UL2Li3o0_5c9d214b05b0d3.85923571_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3465"	"Select"	"Tanlang"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_uzb-UZB_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Har bir mulohaza uchun &lt;b&gt;Ha&lt;/b&gt; yoki &lt;b&gt;Yo'q&lt;/b&gt; ni bosing."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_uzb-UZB_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4124"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA147q4_question_q4itemDirections_5c9d21650b66f4.19975110_1_0"	"PISA_uzb-UZB_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_uzb-UZB_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_uzb-UZB_MAT_MA115-Iceberg_en21_MS2022.xlf"
"3188"	"Select"	"Tanlang"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_uzb-UZB_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2537"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_uzb-UZB_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jami &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Savolga javob berish uchun siljiting va joylang."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_uzb-UZB_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib, savolga javobingizni yozing."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_uzb-UZB_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2255"	"Select"	"Tanlang"	"MA126_question02_S02tr7o0_5c9d214b527777.68714529_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_uzb-UZB_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_uzb-UZB_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1531"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA120_question1_itemDirections1_5c9d214ae25a25.45268216_1_0"	"PISA_uzb-UZB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib, savolga javobingizni yozing."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_uzb-UZB_MAT_MA141-WaterBill_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_uzb-UZB_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Savolga javob berish uchun bir yoki bir necha katakchalarni bosing."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_uzb-UZB_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_uzb-UZB_MAT_MA114-Honey_en21_MS2022.xlf"
