"Segment"	"en-ZZ"	"nn-NO"	"ID"	"File"
"2198"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedanfor, og køyr simuleringa for å få fram data. Svar på spørsmålet ved å klikke på eit av alternativa, og grunngi deretter svaret ditt.&lt;/i&gt;"	"question4_1_itemDirections04_5193fde5a25bd9.17476160_0"	"PISA_nno-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kan dette spørsmålet svarast på ved hjelp av vitskaplege eksperiment?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_nno-NOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2453"	"High"	"Høgt"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Høgt"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5cba8cfdd0.45825886_0"	"PISA_nno-NOR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pila for å gå vidare."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Slett data for å gjere fleire forsøk."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2246"	"High"	"Høgt"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"&quot;Køyr&quot;-knappen som viser resultata."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pila for å gå vidare."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_nno-NOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedanfor, og køyr simuleringa for å få fram data. Svar på spørsmålet ved å klikke på eit av alternativa.&lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"87"	"Fats"	"Feitt"	"S326_stimulus2_t3tr2td1_50ec49ba8e1456.79767602_0"	"PISA_nno-NOR_SCI_S326-Milk_en15_MS2022.xlf"
"2451"	"Low"	"Lågt"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedanfor, og køyr simuleringa for å få fram data.  Svar på spørsmålet ved å klikke på eit av alternativa, og grunngi deretter svaret ditt.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2455"	"None"	"Null"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2681"	"Run"	"Kjør"	"sim_1_runButton_51940c102b8413.48991124_0"	"PISA_nno-NOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2244"	"Low"	"Lågt"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Slett ei rad med data for å køyre ei anna utprøving"	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;For å svare på dette spørsmålet, treng du ikkje å bruke simuleringa. Svar på spørsmålet ved å klikke på eit av alternativa, og grunngi deretter svaret ditt.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2876"	"Select"	"Velg"	"S648_question1_o1_0_517407af6b3077.78468029_0"	"PISA_nno-NOR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Følg desse trinna for å sjå koleis simuleringa fungerer:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_nno-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;Forsøk&lt;/b&gt;"	"S438_stimulus2_p3_50ec564a5f5f77.52064292_0"	"PISA_nno-NOR_SCI_S438-GreenParks_en15_MS2022.xlf"
"2450"	"None"	"Null"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_nno-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Sjå på &quot;Graf 1&quot; til høgre.  Svar på spørsmålet ved å klikke på eit av alternativa.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec51927a0ed3.78824066_0"	"PISA_nno-NOR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"1880"	"sound in marine habitats"	"Lyd i havet"	"S626_stimulus3_title3_515e3a7276de26.20831696_0"	"PISA_nno-NOR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Med denne simuleringa kan du undersøkje korleis vaksinasjon påverkar spreiing av ein smittsam sjukdom i ei befolkning som er utsett for sjukdomen."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_nno-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"737"	"No"	"NEI"	"S498_question3_question3_2_50ec5cba8d01c7.64371150_0"	"PISA_nno-NOR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Fuglar og larver Innleing"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_nno-NOR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
